,Webpage,HLTV Top 20,Rating,RatingV5,RatingV10,RatingV20,RatingV30,RatingV50,MapV5,MapV10,MapV20,MapV30,MapV50,ADR,KPR,DPR,APR,Impact,KAST,NadeDPR,HS%,Rounds played,Rounds with kills,K-D Diff,Opening kill ratio,Opening kill rating,Team win % after 1st kill,First kill in won rounds,Kills,Deaths,% of maps with 1+ rating
tabseN,https://hltv.org/stats/players/5794/tabseN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.09,0.91,1,1.02,1.06,1.07,10,21,48,68,77,80.9,0.72,0.7,0.13,1.18,67.5,5.4,39.8,2337,1093,36,1.1,1.13,62.3,18.5,1676,1640,66.3
snatchie,https://hltv.org/stats/players/9574/snatchie?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.09,0,1.05,0.98,1.01,1.05,0,4,22,36,48,73.2,0.72,0.67,0.09,1.16,69.9,2,31.2,1677,799,82,1.31,1.21,75,21.5,1200,1118,62.9
ottoNd,https://hltv.org/stats/players/11283/ottoNd?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.09,1.12,1.14,1.09,1.07,1.06,7,15,46,69,84,71.9,0.68,0.62,0.1,1.04,71.9,3.7,26.9,2670,1247,173,1.27,1.07,79.2,16.6,1823,1650,65
buster,https://hltv.org/stats/players/11942/buster?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.09,1.02,1.01,1.04,1.05,1.07,18,34,68,79,103,73.7,0.69,0.62,0.11,1.03,72.1,4,48.3,3263,1551,222,1.07,1.01,74.5,14.4,2259,2037,65
stavn,https://hltv.org/stats/players/10994/stavn?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.09,1.05,1.04,1.04,1.06,1.05,21,41,63,80,85,78.7,0.71,0.68,0.14,1.11,70.6,4,42.6,2596,1234,86,0.93,1,68.3,14.3,1855,1769,58.6
k1to,https://hltv.org/stats/players/12781/k1to?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.09,1.17,1.04,1.07,1.06,1.05,2,6,22,31,43,79.1,0.73,0.71,0.12,1.15,68.8,3.7,59.1,1623,763,44,0.86,1,77.3,16.2,1191,1147,62.9
f0rest,https://hltv.org/stats/players/29/f0rest?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.09,1.01,1.06,1.03,1.06,1.08,34,58,97,123,136,76.4,0.72,0.66,0.11,1.09,69.7,3.9,48.1,3819,1827,248,1.24,1.04,71,14.8,2757,2509,63.2
Jerry,https://hltv.org/stats/players/13157/Jerry?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.08,0,1.11,1.09,1.06,1.06,0,14,23,45,58,75.7,0.69,0.66,0.14,1.06,72.2,3.4,42.1,2039,964,69,1.04,1,69.7,12.4,1410,1341,62.3
darko,https://hltv.org/stats/players/11287/darko?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.08,0,0,0,0.89,0.79,0,0,0,9,15,78.1,0.7,0.68,0.13,1.12,69.9,6.8,46.1,1322,630,31,1.22,1.11,73.8,16.9,928,897,58
blameF,https://hltv.org/stats/players/15165/blameF?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.08,1.05,1.08,1.04,1.04,1.08,23,32,42,47,55,78,0.7,0.66,0.13,1.11,69.1,6,40.1,1558,727,64,1.17,1.06,74.3,17,1098,1034,64.4
Vegi,https://hltv.org/stats/players/15204/Vegi?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.08,0,1.02,0.97,1.01,1.03,0,4,22,36,49,77.2,0.7,0.67,0.13,1.07,70.7,4,44.3,1916,914,60,0.96,1.02,70.9,14.9,1348,1288,66.2
EspiranTo,https://hltv.org/stats/players/12030/EspiranTo?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.08,1.01,1.08,1,1.03,1.06,7,15,46,69,84,75.2,0.7,0.67,0.12,1.1,70,4.3,63.8,2670,1258,94,1.03,1.04,72.4,15.4,1878,1784,62
hardzao,https://hltv.org/stats/players/16817/hardzao?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.08,0,0,0,0.52,0.59,0,0,0,1,3,74.9,0.7,0.66,0.13,1.06,71.2,5.2,50.4,1968,931,83,1.07,1.01,76.5,14.2,1378,1295,58.3
Viva,https://hltv.org/stats/players/15419/Viva?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.07,1.05,1.05,0.9,0.85,0.96,2,2,4,6,13,72.7,0.68,0.65,0.12,1.06,72.4,2.6,44.7,1389,643,39,1.36,1.08,68.9,15.3,938,899,58.2
rain,https://hltv.org/stats/players/8183/rain?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.07,0.99,1.05,1.03,1.06,1.07,39,71,106,124,135,78.4,0.69,0.69,0.14,1.12,69.2,3.7,55,3838,1762,3,0.94,1.06,73.8,17.7,2635,2632,60.7
aumaN,https://hltv.org/stats/players/8604/aumaN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.07,0.76,0.9,0.95,0.98,0.97,7,17,34,38,52,79.1,0.68,0.66,0.15,1.12,68,6.3,37.6,2459,1143,51,1.2,1.07,75.6,16.4,1683,1632,58.5
k0nfig,https://hltv.org/stats/players/9078/k0nfig?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.07,0.83,0.95,0.97,0.97,1.01,7,14,25,32,44,80.2,0.71,0.71,0.13,1.13,68.1,2.4,59.3,1390,658,6,0.96,1.04,68.4,15.9,988,982,51.9
motm,https://hltv.org/stats/players/13230/motm?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.07,0.65,0.62,0.8,0.91,0.9,3,6,15,22,31,77.5,0.71,0.69,0.12,1.07,70.3,3.8,50.8,1270,607,27,0.98,1,76,15.1,897,870,62.7
facecrack,https://hltv.org/stats/players/8726/facecrack?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.07,0,1.1,1.09,1.06,1.04,0,14,23,45,58,76.6,0.69,0.68,0.13,1.08,70.9,3.2,46.8,2039,941,32,0.88,0.98,68.6,12.7,1415,1383,70.1
flusha,https://hltv.org/stats/players/3055/flusha?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.07,0.99,1.04,1.04,1.06,1.07,19,51,82,93,97,79.8,0.68,0.66,0.16,1.01,70.3,8.3,43.2,2739,1298,73,1.01,0.94,72.6,11.3,1873,1800,64.1
qqGOD,https://hltv.org/stats/players/9289/qqGOD?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.07,1.13,0.82,0.82,0.82,0.82,1,3,3,3,3,77.9,0.71,0.7,0.15,1.12,70,4,38.9,1256,581,13,0.87,1.01,75.4,15.3,886,873,59.2
JW,https://hltv.org/stats/players/3849/JW?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.07,1.02,1.04,1.06,1.07,1.06,35,67,133,149,166,76.3,0.7,0.69,0.12,1.15,68.3,3.5,39.1,4821,2284,86,1.09,1.11,74.2,18.5,3389,3303,56.4
sjuush,https://hltv.org/stats/players/14148/sjuush?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.07,0,0.94,1.1,1.05,1.01,0,5,16,26,42,73.6,0.67,0.63,0.12,0.96,72.8,3.8,50.9,1832,846,74,1.09,0.95,73.7,11.4,1226,1152,66.2
nukkye,https://hltv.org/stats/players/13679/nukkye?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.07,0.88,0.92,0.94,0.98,1.01,10,20,31,43,48,77.8,0.69,0.66,0.14,1,70.8,3.4,42.4,1725,796,50,1.01,0.94,70.9,11.6,1185,1135,56.1
autimatic,https://hltv.org/stats/players/8735/autimatic?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.07,0.87,0.96,0.96,1.02,1.04,15,33,48,60,73,75.9,0.71,0.67,0.12,1.09,69,5.1,35.6,2083,1004,73,1.29,1.08,72.6,17.1,1479,1406,58
FalleN,https://hltv.org/stats/players/2023/FalleN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.07,0.97,0.99,0.99,1,1.04,27,63,100,114,139,71.1,0.67,0.62,0.1,1.02,71.2,3.9,32.4,4127,1936,196,1.29,1.07,72.1,15.6,2761,2565,56.6
oSee,https://hltv.org/stats/players/13249/oSee?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.07,0.62,0.74,0.82,0.88,0.89,2,7,16,20,30,71.5,0.68,0.64,0.12,0.96,73.2,2.4,31,1688,815,73,1.19,1.02,75.9,14.4,1150,1077,53.7
somebody,https://hltv.org/stats/players/8605/somebody?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.06,0.7,0.86,0.95,0.95,0.99,4,19,39,49,63,76.9,0.69,0.69,0.13,1.12,69.6,4.2,43,2537,1196,3,1.06,1.12,69,17.9,1759,1756,60
Snax,https://hltv.org/stats/players/2553/Snax?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.06,0,1.13,1,1.03,1.04,0,4,22,36,48,76,0.67,0.64,0.13,1,70.2,4.4,41.2,1677,786,55,0.94,0.95,72.7,12.8,1120,1065,59.7
Plopski,https://hltv.org/stats/players/14218/Plopski?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.06,0.99,1.04,1.06,1.04,1.05,18,26,52,70,77,77.4,0.69,0.68,0.14,1.04,70.8,5.5,36.7,2376,1129,35,0.93,0.99,73.6,14.9,1639,1604,62.5
aizy,https://hltv.org/stats/players/8095/aizy?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.06,1,1.06,1.04,1.05,1.07,22,45,80,107,131,73.8,0.67,0.64,0.12,1.02,70.8,4.6,49.5,3725,1713,94,1.12,1.03,69.3,14.4,2494,2400,58
kNgV-,https://hltv.org/stats/players/5736/kNgV-?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.06,0.99,0.95,0.94,0.99,1.04,11,29,55,70,87,73.2,0.72,0.66,0.08,1.08,67.7,1.7,33.2,2661,1296,162,1.15,1.09,71,17.6,1923,1761,55.9
shox,https://hltv.org/stats/players/1225/shox?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.06,0.92,0.95,1,1,1.02,25,59,104,134,147,73.2,0.69,0.64,0.11,1.03,70,3.4,48.8,4432,2087,205,1.03,0.99,73.5,13.1,3053,2848,62.1
Boombl4,https://hltv.org/stats/players/11840/Boombl4?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.06,0.99,1.01,1.03,1.03,1.04,13,33,75,90,100,76.7,0.67,0.67,0.14,1.11,69,4.4,41.6,3146,1429,-11,0.9,1.03,71.5,16.2,2108,2119,58.6
b0RUP,https://hltv.org/stats/players/9896/b0RUP?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.06,1.07,0.95,0.96,1.01,1.02,6,19,36,57,67,74.5,0.7,0.69,0.11,1.09,70,5.3,63.4,2399,1115,22,0.97,1.02,73.4,15.3,1677,1655,58.2
Sidney,https://hltv.org/stats/players/15697/Sidney?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.06,0,0,0,0.99,0.98,0,0,0,14,25,74.4,0.68,0.64,0.12,1.04,69.4,6.1,48.9,1373,625,50,0.99,0.93,74.1,11.1,935,885,52.9
tatazin,https://hltv.org/stats/players/10840/tatazin?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.06,0,0.93,0.89,0.89,0.95,0,2,4,4,7,67.2,0.63,0.6,0.12,0.96,74.7,3.5,43.9,1452,626,46,1.39,1,79.1,13.3,916,870,50
arT,https://hltv.org/stats/players/12521/arT?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.06,0.92,1,1,1,1.04,18,44,78,96,144,76.1,0.7,0.72,0.12,1.26,65.9,3,35.2,4120,1912,-70,1,1.25,72.5,24.3,2890,2960,60.3
Stewie2K,https://hltv.org/stats/players/8797/Stewie2K?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.06,0.97,1.01,1.03,1.02,1.04,52,96,147,162,173,73.3,0.65,0.65,0.13,1.08,69.9,4.9,44.9,4844,2188,-26,1,1.08,75.2,16.7,3143,3169,61.2
foxz,https://hltv.org/stats/players/14577/foxz?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.06,0,0,0.88,0.88,0.98,0,0,3,3,14,74.9,0.65,0.67,0.16,1.05,71.9,5.5,49.1,1741,774,-34,0.77,0.96,74,13.8,1137,1171,57.1
gla1ve,https://hltv.org/stats/players/7412/gla1ve?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.05,1,1.04,1.03,1.03,1.06,48,89,116,124,142,73.7,0.65,0.64,0.16,1.08,69.7,7.1,43.3,3841,1716,30,0.9,1.03,77.8,15.5,2503,2473,58.9
Freeman,https://hltv.org/stats/players/10774/Freeman?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.05,0.95,0.91,0.96,0.96,1.01,9,25,48,56,73,74.5,0.68,0.66,0.12,1.04,70.3,2.3,49,3107,1432,53,0.97,0.99,72.8,14.2,2108,2055,58.2
SADDYX,https://hltv.org/stats/players/15563/SADDYX?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.05,0.34,0.34,0.73,0.74,0.84,2,2,10,11,13,75.8,0.66,0.67,0.15,1.06,69.9,6.1,48.2,1341,600,-19,1.08,1.05,76.2,16.5,886,905,59.3
flamie,https://hltv.org/stats/players/7594/flamie?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.05,0.95,1,1.03,1.03,1.04,21,55,107,126,135,74.9,0.67,0.65,0.14,0.97,71.3,4.9,54.9,3701,1724,89,0.9,0.94,71.9,12,2489,2400,56.8
n0rb3r7,https://hltv.org/stats/players/16612/n0rb3r7?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.05,0,1,1.11,1.08,1.02,0,5,16,30,45,77.3,0.7,0.71,0.12,1.12,68.3,2.7,48.7,1928,896,-29,1.03,1.08,65.4,15.8,1342,1371,53.5
land1n,https://hltv.org/stats/players/10557/land1n?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.05,0,0.86,0.85,0.85,0.83,0,2,4,4,7,69.2,0.66,0.63,0.09,1.04,69.5,2,31.7,1645,753,57,1.23,1.07,71.7,15.2,1093,1036,62.1
es3tag,https://hltv.org/stats/players/8611/es3tag?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.05,1.01,1.04,1.03,1.04,1.04,26,46,71,88,93,74.9,0.66,0.67,0.15,1.06,70,5.5,37.4,2649,1192,-16,0.97,1.04,71.7,16.2,1755,1771,59.4
broky,https://hltv.org/stats/players/18053/broky?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.05,0.99,0.97,0.97,1.01,1.02,17,28,36,46,61,72.5,0.65,0.63,0.12,0.95,71.9,4.8,50.8,1805,829,41,1.45,0.98,72.5,11.8,1182,1141,57.1
JaCkz,https://hltv.org/stats/players/284/JaCkz?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.05,0.92,0.96,0.99,1.01,1.03,31,70,114,148,167,73.4,0.67,0.67,0.13,1.06,70.7,3.2,57.4,5041,2277,-20,0.89,1.02,72.5,15.2,3379,3399,58.8
felps,https://hltv.org/stats/players/9219/felps?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.05,0.89,0.94,0.94,0.96,1,12,28,41,46,65,77.6,0.68,0.7,0.14,1.06,69.1,3.7,46.5,1899,899,-29,0.99,1.04,72.3,15.7,1298,1327,54.7
mopoz,https://hltv.org/stats/players/9254/mopoz?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.05,0,0,0.85,0.9,0.93,0,0,8,21,34,74.6,0.65,0.67,0.14,1.05,70,5.2,49.2,1390,617,-21,0.82,1,74,15.8,906,927,59.3
ISSAA,https://hltv.org/stats/players/10449/ISSAA?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.05,0.92,0.97,1.01,1.01,1.03,7,21,36,50,53,72.9,0.68,0.66,0.12,0.98,71.6,3.3,53.1,1520,718,23,1.09,0.99,67.1,12.8,1026,1003,57.9
kioShiMa,https://hltv.org/stats/players/4959/kioShiMa?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.04,0.82,0.96,0.99,1.05,1.05,7,21,25,34,44,73.4,0.65,0.62,0.15,1.02,70,6.3,48,1318,597,39,0.94,0.95,78.4,13.7,860,821,52.9
WorldEdit,https://hltv.org/stats/players/7403/WorldEdit?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.04,0,0.96,0.97,0.99,0.98,0,4,16,23,36,67.8,0.65,0.61,0.1,1.02,68.9,2.6,24.2,1729,793,75,1.73,1.15,79.2,17.7,1130,1055,62.5
AmaNEk,https://hltv.org/stats/players/9616/AmaNEk?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.04,0.93,0.99,1.03,1.04,1.04,30,64,102,136,151,72.2,0.65,0.63,0.13,0.97,71.1,4.2,49.2,4414,1993,83,0.94,0.94,72.3,11.7,2872,2789,60.2
chrisJ,https://hltv.org/stats/players/2730/chrisJ?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.04,0.96,1.03,1.05,1.04,1.05,24,49,95,124,135,72.8,0.67,0.66,0.11,1.04,69.6,4.2,47.1,4126,1881,55,0.93,1.03,72.8,15,2769,2714,59.4
Summer,https://hltv.org/stats/players/7028/Summer?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.04,1.01,0.89,0.98,0.98,0.98,4,19,39,49,63,74,0.69,0.67,0.11,0.99,70.3,5,45.4,2537,1203,31,1.06,0.98,74,13.5,1742,1711,55
nitr0,https://hltv.org/stats/players/7687/nitr0?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.04,0.97,0.98,1.02,1.02,1.03,52,96,147,162,173,67.9,0.64,0.62,0.12,0.96,72.2,4.1,42.1,4844,2136,83,1.15,1,76.7,12.7,3086,3003,54.1
faveN,https://hltv.org/stats/players/14932/faveN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.04,0.79,0.89,0.92,0.93,0.96,2,6,27,36,50,71.9,0.66,0.67,0.12,1.05,69.1,2.8,53,2224,1006,-6,1.02,1.02,73.2,14.8,1478,1484,57.1
Lucky,https://hltv.org/stats/players/13497/Lucky?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.04,0.87,0.95,0.98,0.98,1.01,20,43,75,95,114,72.7,0.64,0.64,0.14,0.96,71.2,5.4,39.1,3631,1628,18,0.86,0.92,74.1,11.6,2327,2309,57.4
chelo,https://hltv.org/stats/players/10566/chelo?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.04,0.68,0.87,0.86,0.94,1.01,1,9,20,30,43,75.8,0.68,0.69,0.12,1.03,69.3,4,65.3,1485,688,-15,1,1.01,74.7,16.8,1006,1021,50
XANTARES,https://hltv.org/stats/players/7938/XANTARES?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.04,1.02,0.95,0.96,1.01,1.03,8,19,46,63,69,78,0.7,0.72,0.13,1.12,67.3,4.4,52.2,2159,1000,-47,0.97,1.05,67.5,17.5,1516,1563,51.3
zhokiNg,https://hltv.org/stats/players/8601/zhokiNg?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.03,0.96,0.94,0.94,0.94,0.94,7,17,34,38,52,75.5,0.66,0.72,0.16,1.13,68.8,4,51,2501,1105,-142,0.77,1.02,75,18.2,1661,1803,56.8
Aerial,https://hltv.org/stats/players/4076/Aerial?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.03,1,0.97,0.98,0.99,1.01,29,50,110,123,141,72.7,0.65,0.68,0.14,1.06,70.3,2.2,38.4,3948,1742,-106,0.92,1.04,75.9,17,2576,2682,50.7
MINISE,https://hltv.org/stats/players/2826/MINISE?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.03,1.13,0.93,0.89,0.99,1,5,12,18,32,46,71.4,0.68,0.68,0.11,1.07,68,3.6,37.4,1954,907,5,1.08,1.09,76.7,18.8,1325,1320,57.7
REZ,https://hltv.org/stats/players/9278/REZ?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.03,0.92,0.99,1,1.01,1.02,34,58,97,123,136,76,0.67,0.69,0.14,1.09,67.1,3.4,48.5,3819,1714,-93,0.95,1.04,73.4,17.1,2549,2642,52.1
apEX,https://hltv.org/stats/players/7322/apEX?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.03,0.93,0.97,0.99,1,1.01,37,71,132,152,175,75.9,0.66,0.68,0.15,1.01,68.6,5.9,48.4,4920,2220,-82,0.87,0.94,75.3,12.4,3250,3332,52.4
twist,https://hltv.org/stats/players/7443/twist?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.03,0.89,0.93,1.01,1.01,1.02,33,47,101,131,146,71.2,0.66,0.65,0.13,1.01,68.8,4.6,36.5,4094,1842,21,0.99,0.99,73.3,14.1,2688,2667,53.2
tiburci0,https://hltv.org/stats/players/16695/tiburci0?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.03,0,0,0,0.91,0.89,0,0,0,6,18,69.5,0.67,0.62,0.1,0.95,69.2,2.8,39,2571,1199,112,1.37,0.98,69.7,11.2,1716,1604,53.8
mouz,https://hltv.org/stats/players/8323/mouz?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.03,0.81,0.94,0.96,0.95,0.98,5,12,18,32,46,70.3,0.67,0.65,0.11,0.97,70.5,2.3,49.7,1954,894,45,0.88,0.91,70.3,11.1,1306,1261,60.6
cadiaN,https://hltv.org/stats/players/7964/cadiaN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.03,0.98,0.97,1.01,1.02,1.02,8,26,49,72,88,64.9,0.63,0.59,0.08,0.98,69,4.6,27.9,2599,1139,98,1.19,1.05,73.1,15.3,1626,1528,51.5
TeSeS,https://hltv.org/stats/players/12018/TeSeS?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.03,0.76,0.74,0.77,0.79,0.92,5,9,15,17,34,75.1,0.68,0.69,0.11,1.02,68,4,53.1,1370,619,-7,0.92,0.94,70.6,13.1,938,945,57.7
Tuurtle,https://hltv.org/stats/players/14394/Tuurtle?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.02,0,0,0,0.99,0.92,0,0,0,6,18,77,0.65,0.71,0.16,1.09,68,3.3,53.8,2571,1132,-151,0.96,1.08,75.4,18.5,1670,1821,54.8
JUGi,https://hltv.org/stats/players/8783/JUGi?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.02,0.93,0.97,0.98,1.01,1.01,22,38,67,89,97,65.4,0.62,0.6,0.1,0.96,71.1,2.2,27.6,2786,1233,51,1.36,1.08,73.8,16.1,1728,1677,58.3
neptune,https://hltv.org/stats/players/12101/neptune?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.02,0.81,0.79,0.82,0.83,0.86,9,13,25,28,36,73.4,0.68,0.69,0.13,1.02,69.4,3.2,55.3,1967,898,-32,0.97,0.99,78,15.2,1331,1363,50.7
NBK-,https://hltv.org/stats/players/7168/NBK-?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.02,1,0.98,0.98,1.01,1.01,27,50,104,115,135,75.9,0.65,0.7,0.14,1.1,67.1,3.6,50.9,3792,1662,-162,0.95,1.07,75.7,17.8,2478,2640,53.9
GuardiaN,https://hltv.org/stats/players/2757/GuardiaN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.02,0.94,0.97,0.99,1.01,1.01,30,60,104,121,132,67.6,0.64,0.62,0.11,0.96,69.4,2.7,31.5,3705,1657,76,1.31,1.04,78.1,15.2,2361,2285,52.9
prt,https://hltv.org/stats/players/10827/prt?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.02,0,0,0,0.98,0.97,0,0,0,6,18,72.1,0.66,0.68,0.12,1.01,69.2,2.5,53.8,2571,1170,-46,1.02,1,70.7,13.8,1703,1749,58.1
olofmeister,https://hltv.org/stats/players/885/olofmeister?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.02,0.93,0.98,0.99,1,1.01,39,71,106,124,135,69.6,0.64,0.63,0.1,0.93,69.8,3.8,48.7,3838,1740,69,1.05,0.97,74,12.9,2472,2403,49
ryann,https://hltv.org/stats/players/12088/ryann?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.02,0.81,0.98,0.81,0.81,0.86,1,3,15,15,24,72.5,0.66,0.7,0.12,1.07,69.1,3.1,54.1,1570,718,-64,0.86,1.05,78.5,19.7,1042,1106,50.8
tarik,https://hltv.org/stats/players/8523/tarik?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.02,0.98,1,0.99,1,1.02,46,87,147,159,176,73.2,0.66,0.69,0.14,1,69.5,3,37.8,4857,2194,-158,0.87,0.96,73.8,13.6,3182,3340,49.5
Liazz,https://hltv.org/stats/players/10588/Liazz?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.02,0.88,0.98,1.01,1.01,1.02,34,73,109,119,138,68.7,0.6,0.63,0.14,0.91,72.8,4.3,46.5,3815,1588,-122,0.95,0.92,70.7,10.7,2281,2403,51.7
nex,https://hltv.org/stats/players/7256/nex?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.02,0.89,1.01,0.99,0.99,1.02,7,15,30,45,52,73.2,0.65,0.65,0.12,0.9,70,4.8,49.9,1617,738,2,1.33,0.94,66.7,10.5,1059,1057,61
Edward,https://hltv.org/stats/players/483/Edward?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.02,0.94,0.98,1.02,1,1.01,8,27,50,64,76,70.4,0.65,0.66,0.13,0.95,70.6,3,48.3,2075,943,-15,0.88,0.95,76.4,13.7,1347,1362,51.3
ShahZaM,https://hltv.org/stats/players/7810/ShahZaM?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.01,1,0.99,1,0.99,1,13,25,34,42,49,70.5,0.66,0.68,0.11,1,69.2,2.7,36.8,1349,647,-20,1.18,1.06,68,16.6,897,917,45.1
malta,https://hltv.org/stats/players/11485/malta?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.01,0.95,0.86,0.88,0.89,0.94,10,22,38,41,55,72.1,0.64,0.66,0.14,1.02,68.5,3.6,42.7,2503,1078,-47,0.85,0.94,69.5,11.8,1607,1654,50
Snappi,https://hltv.org/stats/players/922/Snappi?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.01,0.99,0.99,0.97,0.96,0.96,8,22,42,62,67,72.4,0.64,0.66,0.14,0.94,69.7,5.5,46.9,2071,912,-33,0.92,0.9,74.5,10.7,1326,1359,55.7
