,Webpage,HLTV Top 20,Rating,RatingV5,RatingV10,RatingV20,RatingV30,RatingV50,MapV5,MapV10,MapV20,MapV30,MapV50,ADR,KPR,DPR,APR,Impact,KAST,NadeDPR,HS%,Rounds played,Rounds with kills,K-D Diff,Opening kill ratio,Opening kill rating,Team win % after 1st kill,First kill in won rounds,Kills,Deaths,% of maps with 1+ rating
sdy,https://hltv.org/stats/players/12731/sdy?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.17,1.19,1.16,1.12,1.1,1.15,3,11,21,27,40,83.4,0.76,0.65,0.14,1.16,72.9,4.5,50.2,1668,831,191,0.97,0.96,72.8,12.5,1270,1079,73.8
GooseBreeder,https://hltv.org/stats/players/8850/GooseBreeder?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.17,0,0,0,0,0,0,0,0,0,0,79.8,0.75,0.63,0.16,1.15,74.6,4,50.6,1208,597,138,1.25,1.03,82.5,14.4,900,762,73.5
JohnOlsen,https://hltv.org/stats/players/16911/JohnOlsen?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.17,0,0,0,0,0,0,0,0,0,0,83.5,0.78,0.67,0.12,1.19,71.6,2.7,52.2,1554,774,176,1.21,1.03,76.9,13.8,1210,1034,68.9
PTC,https://hltv.org/stats/players/13238/PTC?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.17,0.44,0.64,0.64,0.64,0.64,1,3,3,3,3,78.5,0.77,0.62,0.1,1.18,71.9,2.1,36,1362,704,203,1.41,1.14,70.4,16,1048,845,73.6
mixwell,https://hltv.org/stats/players/8370/mixwell?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.17,0.89,0.92,0.97,1.05,1.08,7,9,17,27,39,79.2,0.75,0.65,0.1,1.27,70.8,5.9,34,1444,715,137,1.41,1.26,77.2,23.8,1080,943,66.1
woxic,https://hltv.org/stats/players/8574/woxic?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,TRUE,1.17,1.18,1.16,1.16,1.15,1.16,24,54,89,116,124,76.9,0.74,0.6,0.11,1.2,71.7,2.4,34,3716,1816,506,1.52,1.16,76.3,17.6,2752,2246,73.4
Magisk,https://hltv.org/stats/players/9032/Magisk?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,TRUE,1.17,1.13,1.14,1.14,1.14,1.16,48,89,116,124,142,80.9,0.72,0.61,0.16,1.11,75,6.6,44.7,3841,1858,420,1.04,1.01,76.4,13.4,2777,2357,78.8
Brehze,https://hltv.org/stats/players/9136/Brehze?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,TRUE,1.16,1.14,1.15,1.12,1.13,1.15,44,86,145,159,183,80.7,0.77,0.66,0.12,1.18,72.4,2.3,51.1,5135,2602,578,1.19,1.05,75.1,15,3952,3374,71.9
poizon,https://hltv.org/stats/players/12126/poizon?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.16,1.19,1.08,1.07,1.06,1.13,3,12,31,35,47,79.6,0.76,0.64,0.11,1.24,69.5,3.4,31.7,1482,732,184,1.39,1.17,74.2,19.6,1133,949,62.5
NiKo,https://hltv.org/stats/players/3741/NiKo?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,TRUE,1.16,1.1,1.17,1.14,1.15,1.16,39,71,104,122,133,82.4,0.76,0.66,0.12,1.23,69.9,4,47.2,3702,1854,367,1.11,1.13,71.1,18.6,2825,2458,69.3
jks,https://hltv.org/stats/players/4679/jks?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,TRUE,1.16,1,1.08,1.12,1.12,1.15,34,73,109,119,138,81.2,0.74,0.63,0.13,1.16,71.4,5.6,55.5,3815,1832,421,1.21,1.02,73.6,14,2825,2404,66.7
Sobol,https://hltv.org/stats/players/15940/Sobol?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.16,0,0,0,1.02,1.03,0,0,0,9,15,82.2,0.75,0.63,0.14,1.16,71.4,4.5,53,1521,744,192,0.9,0.96,77.3,13.2,1146,954,74.1
Olivia,https://hltv.org/stats/players/10664/Olivia?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.16,0,0,0.81,0.81,0.94,0,0,3,3,15,75.7,0.75,0.62,0.1,1.21,72.3,2.3,33.4,1812,892,234,1.31,1.17,80.5,20.3,1364,1130,67.1
coldzera,https://hltv.org/stats/players/9216/coldzera?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.16,1.07,1.07,1.1,1.13,1.13,29,53,74,88,109,80.2,0.76,0.64,0.11,1.11,73.2,3.9,52.1,3125,1570,378,1.47,1.03,70.8,13.1,2367,1989,68.9
roeJ,https://hltv.org/stats/players/14419/roeJ?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.16,0,1.03,1.08,1.08,1.12,0,3,12,16,24,82.4,0.76,0.66,0.14,1.21,70.7,3.5,54.6,1352,667,128,1.07,1.1,72.9,16.5,1023,895,73.1
Sico,https://hltv.org/stats/players/9102/Sico?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.16,1.09,1.04,1.02,1.04,1.05,10,19,29,32,43,75.7,0.72,0.58,0.13,1.12,73.3,6.5,30,1986,979,276,1.9,1.12,78.9,16.1,1421,1145,67.5
KSCERATO,https://hltv.org/stats/players/15631/KSCERATO?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.15,1.13,1.11,1.14,1.11,1.15,18,44,78,96,144,78.7,0.72,0.58,0.12,1.02,74.2,4.7,50,4120,1999,580,1.36,0.95,76.4,11,2976,2396,71.8
BnTeT,https://hltv.org/stats/players/7131/BnTeT?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.15,0.91,1.1,1.09,1.07,1.11,4,19,39,49,63,82,0.72,0.63,0.15,1.14,72.6,6.7,43.3,2495,1172,221,1.26,1.01,68.7,12.6,1803,1582,69.7
Bubzkji,https://hltv.org/stats/players/9612/Bubzkji?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.15,0,1.06,1.14,1.12,1.11,0,5,16,26,42,84.8,0.76,0.68,0.13,1.19,70.7,5.8,46,1832,951,157,1.19,1.11,73.3,16.8,1399,1242,69.1
dexter,https://hltv.org/stats/players/9115/dexter?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.15,1.16,1.03,1.05,1.06,1.08,10,22,38,41,55,82.7,0.76,0.67,0.14,1.22,70.8,5.2,50.4,2503,1267,216,1.26,1.15,77.6,19.3,1897,1681,66.7
floppy,https://hltv.org/stats/players/12713/floppy?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.15,0.58,0.84,0.9,1,1.02,2,7,16,20,30,82.1,0.76,0.66,0.13,1.1,72.8,2.5,45,1688,827,166,1.05,0.95,80.6,12.8,1277,1111,73.1
Twistzz,https://hltv.org/stats/players/10394/Twistzz?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,TRUE,1.14,1.07,1.1,1.11,1.13,1.13,52,96,147,162,173,74.2,0.72,0.59,0.11,1.04,75.1,3.6,65.8,4844,2318,620,1.03,0.93,75.8,10.6,3479,2859,65.6
dycha,https://hltv.org/stats/players/16080/dycha?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.14,1.01,1.05,1.06,1.08,1.08,5,12,18,32,43,84.6,0.76,0.7,0.16,1.25,69.9,3.7,55.9,1825,904,105,1.05,1.11,72,18.4,1382,1277,69.7
PKL,https://hltv.org/stats/players/6593/PKL?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.14,0,1.27,1.06,1.06,1.09,0,2,4,4,7,82.8,0.73,0.69,0.17,1.19,72.4,6.8,51.9,1645,793,69,0.96,1.06,74.2,16.9,1209,1140,77.6
MAIROLLS,https://hltv.org/stats/players/10666/MAIROLLS?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,FALSE,1.14,0,0,0.9,0.9,0.87,0,0,3,3,14,77.8,0.72,0.62,0.13,1.05,74.7,3.9,48.7,1741,847,186,1.21,1,74.8,12.5,1260,1074,70
