,Webpage,HLTV Top 20,Rating,RatingV5,RatingV10,RatingV20,RatingV30,RatingV50,MapV5,MapV10,MapV20,MapV30,MapV50,ADR,KPR,DPR,APR,Impact,KAST,NadeDPR,HS%,Rounds played,Rounds with kills,K-D Diff,Opening kill ratio,Opening kill rating,Team win % after 1st kill,First kill in won rounds,Kills,Deaths,% of maps with 1+ rating
s1mple,https://hltv.org/stats/players/7998/s1mple?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,TRUE,1.33,1.24,1.29,1.33,1.33,1.33,41,85,118,156,169,87.5,0.88,0.6,0.1,1.4,75.9,2.6,42,4416,2446,1232,1.81,1.26,71.4,19.4,3866,2634,85
ottoNd,https://hltv.org/stats/players/11283/ottoNd?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.32,0,0,1.08,1.08,1.2,0,0,5,5,9,83.1,0.84,0.57,0.13,1.41,75.3,3.3,26,1156,623,308,2.33,1.29,83.3,21,967,659,88.9
NiKo,https://hltv.org/stats/players/3741/NiKo?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,TRUE,1.25,1.24,1.2,1.21,1.22,1.23,46,99,127,149,157,86.6,0.82,0.64,0.13,1.3,73.1,3.7,48.2,4330,2291,781,1.41,1.14,75.8,17.1,3536,2755,78.9
device,https://hltv.org/stats/players/7592/device?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,TRUE,1.24,1.19,1.21,1.24,1.24,1.24,57,119,145,157,163,81.1,0.79,0.58,0.13,1.3,73.4,5.1,32.1,4235,2180,855,1.64,1.22,79,18.7,3327,2472,76.8
EspiranTo,https://hltv.org/stats/players/12030/EspiranTo?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.24,0,0.57,1.16,1.15,1.15,0,1,24,33,42,85.5,0.84,0.68,0.12,1.38,73.1,3,55.4,1497,787,239,1.14,1.15,74.6,18.3,1261,1022,74.1
zehN,https://hltv.org/stats/players/1378/zehN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.23,0,0.81,0.91,0.92,0.92,0,1,9,11,11,84.5,0.79,0.62,0.17,1.23,75.1,7.8,47.6,1175,590,202,1.24,1.02,77.4,13.2,927,725,80.4
nexa,https://hltv.org/stats/players/9618/nexa?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.23,0,1.13,1.17,1.17,1.15,0,1,24,33,42,85.4,0.78,0.62,0.15,1.13,77.1,4.2,49.2,1582,818,252,1.14,0.94,75,10.3,1239,987,77.4
woxic,https://hltv.org/stats/players/8574/woxic?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.23,1.13,1.08,1.14,1.15,1.2,13,24,61,81,98,81,0.81,0.62,0.1,1.29,71.8,1.7,34.6,2911,1503,551,1.62,1.18,74.1,18.4,2353,1802,81.1
Olivia,https://hltv.org/stats/players/10664/Olivia?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.21,0,0,0,0,0,0,0,0,0,0,84.8,0.79,0.65,0.13,1.24,73.3,3.4,44.4,1166,612,163,1.73,1.18,75.8,17.2,917,754,80.9
Infinite,https://hltv.org/stats/players/14619/Infinite?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.21,0,0,0,0,0.92,0,0,0,0,8,83.2,0.76,0.64,0.14,1.21,75.6,3.8,47.7,1166,571,137,1.15,1.05,70.6,14.3,887,750,74.5
XANTARES,https://hltv.org/stats/players/7938/XANTARES?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.21,0.88,1.12,1.13,1.18,1.18,5,19,29,47,65,89,0.78,0.71,0.17,1.41,70.8,3.7,52,1975,971,130,1.12,1.23,70.8,22.7,1537,1407,77.3
allu,https://hltv.org/stats/players/695/allu?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.2,1.11,1.06,1.08,1.13,1.16,5,13,26,50,63,77.3,0.77,0.58,0.09,1.22,71.9,4,26.9,2009,1053,379,1.93,1.2,84.7,19.7,1553,1174,76.6
syrsoN,https://hltv.org/stats/players/7266/syrsoN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.19,0,0,0,1.19,1.22,0,0,0,2,8,77.7,0.81,0.62,0.07,1.25,69.8,2.1,24.2,1327,701,254,1.61,1.2,78.5,20.5,1072,818,72.5
electronic,https://hltv.org/stats/players/8918/electronic?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,TRUE,1.19,1.08,1.13,1.14,1.17,1.18,42,86,121,165,180,83.6,0.76,0.63,0.14,1.17,74,4.5,49.1,4795,2381,631,1.06,1,74.6,13.7,3636,3005,76.1
KRIMZ,https://hltv.org/stats/players/7528/KRIMZ?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,TRUE,1.19,1.09,1.09,1.14,1.15,1.17,36,59,84,95,105,85.8,0.8,0.66,0.14,1.18,73,2.8,41.4,3129,1649,433,1.15,1.03,76.2,15.2,2488,2055,72
NAF,https://hltv.org/stats/players/8520/NAF?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,TRUE,1.18,1.09,1.12,1.17,1.18,1.19,57,112,147,174,182,83.9,0.74,0.63,0.16,1.16,73.8,6,42.4,4730,2316,516,1.34,1.04,74.9,14.1,3497,2981,69.7
motm,https://hltv.org/stats/players/13230/motm?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.18,0,0,0,0.91,0.93,0,0,0,3,8,80.1,0.79,0.68,0.11,1.26,73.2,1.6,49.2,1372,705,158,1.27,1.17,76.9,18.9,1085,927,76.4
coldzera,https://hltv.org/stats/players/9216/coldzera?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,TRUE,1.18,1.03,1.1,1.13,1.15,1.16,50,92,119,137,159,80.2,0.78,0.61,0.11,1.12,73.4,2.3,47.4,4619,2388,783,1.56,1.02,74.5,12.9,3604,2821,74.1
tabseN,https://hltv.org/stats/players/5794/tabseN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.18,1.17,1.12,1.18,1.17,1.17,18,36,66,88,95,86.3,0.77,0.7,0.14,1.32,69.4,7.6,42.4,2732,1352,215,1.19,1.2,70.9,21.2,2117,1902,63.8
Attacker,https://hltv.org/stats/players/8552/Attacker?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.18,0.99,1.07,1.02,1.04,1.03,2,8,11,16,23,87.2,0.82,0.71,0.12,1.23,70.8,1,47.8,1472,776,165,1.29,1.09,65.1,15.7,1204,1039,68.4
dupreeh,https://hltv.org/stats/players/7398/dupreeh?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,TRUE,1.17,1.13,1.15,1.16,1.17,1.18,57,119,145,157,163,79.1,0.74,0.62,0.14,1.2,73.9,3.2,49.6,4235,2092,484,1.27,1.12,81.9,17.1,3123,2639,75
WARDELL,https://hltv.org/stats/players/11264/WARDELL?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.17,0.96,0.97,1.08,1.05,1.1,9,18,28,31,39,75.2,0.75,0.6,0.09,1.19,72.4,1.9,25,1548,755,230,1.61,1.13,73.3,16,1158,928,70
sergej,https://hltv.org/stats/players/11916/sergej?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.17,1.13,1.16,1.18,1.16,1.15,5,13,26,50,63,81.9,0.75,0.62,0.14,1.13,72.9,3.5,51.3,2009,996,251,1.01,0.97,73.9,12.1,1501,1250,72.7
Ethan,https://hltv.org/stats/players/10671/Ethan?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.17,1.05,1.1,1.14,1.15,1.16,19,44,75,97,113,83.9,0.75,0.66,0.15,1.24,71.7,4.4,49.6,3053,1469,252,0.98,1.09,73.6,18.3,2282,2030,76.7
sLowi,https://hltv.org/stats/players/9271/sLowi?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.17,0,0,0.99,0.99,1.06,0,0,7,7,12,76.7,0.73,0.62,0.13,1.26,71.6,4.5,38.9,1597,787,183,1.39,1.2,83.6,20.8,1173,990,71.2
Magisk,https://hltv.org/stats/players/9032/Magisk?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,TRUE,1.16,1.17,1.15,1.16,1.16,1.16,57,115,141,153,159,79.1,0.71,0.61,0.16,1.14,74.6,6.5,48.9,4141,1953,437,1.14,1.06,82.5,15.5,2952,2515,74.4
Sico,https://hltv.org/stats/players/9102/Sico?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.15,0.8,0.95,0.92,0.95,1.01,2,5,7,11,22,81,0.76,0.65,0.12,1.16,71.3,6.6,36.6,1357,692,155,1.61,1.08,77.6,16.6,1035,880,67.9
SPELLAN,https://hltv.org/stats/players/11217/SPELLAN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.15,0,0,1.14,1.08,1.09,0,0,10,15,31,80.5,0.74,0.64,0.15,1.19,72.1,4.6,36.8,1271,637,129,1.38,1.15,75.2,17.5,941,812,74.5
valde,https://hltv.org/stats/players/9031/valde?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,TRUE,1.15,1.08,1.06,1.13,1.15,1.14,21,40,80,107,123,82,0.76,0.64,0.14,1.06,73.5,4.9,44.4,3562,1813,417,1.3,0.94,76,11,2693,2276,72.9
autimatic,https://hltv.org/stats/players/8735/autimatic?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,TRUE,1.15,1.04,1.08,1.11,1.13,1.13,42,62,83,96,102,81.1,0.77,0.66,0.13,1.16,72.1,3.9,46.9,2989,1532,318,1.34,1.05,70.6,14.3,2287,1969,74.6
COLDYY1,https://hltv.org/stats/players/9083/COLDYY1?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.15,0.8,0.8,1.08,1.09,1.1,2,2,7,25,33,80.3,0.75,0.64,0.15,1.12,72.8,3.9,53.3,1601,805,164,1.28,1,74.7,12.8,1194,1030,72.6
ZOREE,https://hltv.org/stats/players/8576/ZOREE?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.15,0,0,1.02,1.02,1.03,0,0,4,4,9,78.9,0.73,0.61,0.13,1.16,71.3,3.7,39.4,1651,792,194,1.35,1.09,71.2,14.7,1207,1013,70.3
XigN,https://hltv.org/stats/players/9172/XigN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.14,0.8,0.92,0.94,0.96,0.99,4,13,29,41,50,80.9,0.77,0.67,0.12,1.2,70.8,2.6,53.8,2523,1247,243,1.05,1.02,68.8,14,1939,1696,65.3
v1c7oR,https://hltv.org/stats/players/7834/v1c7oR?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.14,0,0,1.09,1.03,1.05,0,0,12,21,42,80.6,0.72,0.67,0.17,1.19,74.1,4.9,45.1,1714,807,75,0.85,1.02,74,15.6,1226,1151,67.6
sdy,https://hltv.org/stats/players/12731/sdy?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.14,0.69,0.69,0.93,1.1,1.1,2,2,7,25,33,77.7,0.72,0.62,0.14,1.11,73.5,3.1,47,1601,762,165,0.97,0.95,69.1,11,1159,994,67.7
ISSAA,https://hltv.org/stats/players/10449/ISSAA?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.14,0.93,0.98,1.11,1.13,1.15,13,28,64,87,104,77.6,0.76,0.65,0.11,1.14,72.4,3.4,58.9,3059,1526,339,1.18,1.03,74.7,14.7,2317,1978,66.7
Liazz,https://hltv.org/stats/players/10588/Liazz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.14,0.61,1.11,1.03,1.01,1,2,12,22,37,50,80.4,0.72,0.63,0.16,1.09,73.2,4.4,45.5,2455,1171,203,1.02,0.96,71.6,12.1,1757,1554,63.5
Aerial,https://hltv.org/stats/players/4076/Aerial?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.14,0.82,0.99,1.05,1.07,1.1,5,13,26,50,66,80.2,0.73,0.66,0.16,1.16,73.8,2.3,43.5,2325,1114,149,0.99,1.05,75.3,15.9,1692,1543,70.8
Brehze,https://hltv.org/stats/players/9136/Brehze?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.14,1.02,1.08,1.1,1.12,1.13,19,44,75,97,113,79.1,0.74,0.66,0.13,1.12,72.7,2.5,54.6,3053,1500,252,1.07,1.01,71.8,13.9,2260,2008,63.8
