,Webpage,HLTV Top 20,Rating,RatingV5,RatingV10,RatingV20,RatingV30,RatingV50,MapV5,MapV10,MapV20,MapV30,MapV50,ADR,KPR,DPR,APR,Impact,KAST,NadeDPR,HS%,Rounds played,Rounds with kills,K-D Diff,Opening kill ratio,Opening kill rating,Team win % after 1st kill,First kill in won rounds,Kills,Deaths,% of maps with 1+ rating
moose,https://hltv.org/stats/players/12271/moose?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.14,1.49,1.16,1.14,1.07,1.08,1,5,9,24,37,79.7,0.76,0.63,0.11,1.12,70.7,1.7,40,2092,1040,257,1.42,1,73.4,12.5,1584,1327,73.2
rallen,https://hltv.org/stats/players/5388/rallen?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.13,0,1.04,1.07,1.1,1.16,0,4,17,39,72,83.6,0.71,0.66,0.18,1.13,71.6,8.6,44.4,2601,1250,122,1.1,1.02,75.1,15,1845,1723,71.4
Hatz,https://hltv.org/stats/players/11162/Hatz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.13,0.72,0.96,1,1.04,0.98,3,6,10,16,27,78.6,0.73,0.66,0.13,1.18,71.9,4,42.8,1960,944,130,1.11,1.09,74.1,17.1,1422,1292,68.4
apEX,https://hltv.org/stats/players/7322/apEX?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.13,1.09,1.06,1.1,1.15,1.14,4,20,34,43,45,83.8,0.74,0.7,0.16,1.17,71.5,4.9,50.1,1166,589,50,1.37,1.15,79.7,18.7,867,817,67.4
CeRq,https://hltv.org/stats/players/11219/CeRq?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.13,1,1.02,1.11,1.11,1.13,19,44,75,97,113,72.5,0.71,0.61,0.1,1.14,73,2.3,29.6,3053,1448,311,1.57,1.15,74.2,17.4,2177,1866,69.8
NaToSaphiX,https://hltv.org/stats/players/9294/NaToSaphiX?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.13,0.75,0.75,1.06,1.07,1.08,1,1,17,21,29,73,0.73,0.6,0.08,1.07,72.3,2.6,31.8,1274,638,167,1.35,1.03,78.2,15.7,929,762,65.2
snatchie,https://hltv.org/stats/players/9574/snatchie?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.13,1.09,1.14,1.12,1.13,1.12,7,15,40,65,86,76.7,0.77,0.67,0.09,1.22,69.9,1.9,28.6,3102,1546,300,1.35,1.16,74.9,18.9,2387,2087,67.2
Twistzz,https://hltv.org/stats/players/10394/Twistzz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,TRUE,1.13,1.04,1.09,1.1,1.12,1.13,58,113,148,177,185,75.8,0.73,0.62,0.11,1.07,73.9,3.4,62.8,4845,2320,507,1.02,0.95,72,11.6,3517,3010,67.2
gla1ve,https://hltv.org/stats/players/7412/gla1ve?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,TRUE,1.13,1.1,1.12,1.13,1.13,1.13,57,119,145,157,163,78.2,0.7,0.62,0.16,1.12,73,7.7,46.3,4235,1982,333,1.09,1.02,75.6,13.2,2955,2622,69.5
oskar,https://hltv.org/stats/players/798/oskar?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,TRUE,1.13,1.02,1.04,1.11,1.12,1.12,54,85,134,154,160,75.9,0.73,0.62,0.1,1.17,69.7,3.1,29,4367,2145,473,1.43,1.16,73.3,18.2,3194,2721,65.7
BnTeT,https://hltv.org/stats/players/7131/BnTeT?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.13,0.97,0.99,1.02,1.04,1.06,14,28,69,91,110,80,0.72,0.63,0.14,1.05,73.4,5.3,39.2,3652,1758,304,1.09,0.93,74.2,11.3,2622,2318,63.2
Aleksib,https://hltv.org/stats/players/9816/Aleksib?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.13,0.9,0.99,1,0.99,1.06,5,13,26,50,67,78.2,0.68,0.62,0.18,1.15,72.2,8.5,37.1,2467,1125,145,1.04,1.03,72.3,13.7,1683,1538,67.7
dexter,https://hltv.org/stats/players/9115/dexter?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.13,0.77,0.83,0.8,0.98,1.04,4,9,14,25,33,84.2,0.75,0.7,0.13,1.24,68.9,5,47.1,1419,699,64,1.3,1.23,73,22.1,1063,999,67.3
GruBy,https://hltv.org/stats/players/8570/GruBy?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.13,1.2,1.12,1.03,1.11,1.09,3,7,32,65,87,81.1,0.73,0.66,0.15,1.09,72.6,3.5,41.7,3176,1536,224,1.05,0.98,77.1,13,2310,2086,69.4
exit,https://hltv.org/stats/players/11154/exit?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.13,0.96,0.88,0.98,1.01,1.09,3,7,9,14,16,79.5,0.72,0.63,0.12,1,74.3,5.3,46.4,1170,587,104,1.35,0.93,69.1,9.3,843,739,66.7
mertz,https://hltv.org/stats/players/9895/mertz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.13,1.02,1.01,1.1,1.13,1.13,10,21,70,102,114,74.6,0.72,0.64,0.1,1.18,70.8,2.2,30.3,3279,1618,276,1.38,1.2,74.8,20.2,2366,2090,64.8
EliGE,https://hltv.org/stats/players/8738/EliGE?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,TRUE,1.12,1.04,1.05,1.09,1.11,1.12,58,113,148,177,185,80.6,0.73,0.68,0.15,1.19,71,4,46.6,4845,2345,246,0.97,1.06,73,16.8,3533,3287,72.5
flickz,https://hltv.org/stats/players/11844/flickz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.12,0.57,0.57,0.57,0.9,0.9,1,1,1,4,11,78.6,0.69,0.65,0.17,1.07,74.6,5,45.8,1206,574,60,1.27,1.03,74.6,12.8,838,778,68.8
MINISE,https://hltv.org/stats/players/2826/MINISE?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.12,0,0.77,1.04,1.05,1.1,0,4,17,39,70,77.4,0.73,0.65,0.12,1.22,68.5,5.2,38,2955,1453,235,1.16,1.15,75.4,20.2,2170,1935,67.3
SicK,https://hltv.org/stats/players/9258/SicK?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.12,1.03,0.99,0.95,1.04,1.05,2,3,7,14,32,75.8,0.71,0.64,0.13,1.15,72.4,4,51.9,1252,588,85,1.13,1.08,75.3,16.2,890,805,60
GuardiaN,https://hltv.org/stats/players/2757/GuardiaN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,TRUE,1.12,1.07,1.09,1.09,1.1,1.1,46,99,127,149,157,72.2,0.73,0.61,0.09,1.12,71,2.7,26.8,4330,2115,498,1.33,1.1,79.8,17,3144,2646,69.3
SHiPZ,https://hltv.org/stats/players/11343/SHiPZ?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.12,0,0,1.1,1.02,1.06,0,0,12,21,42,78,0.74,0.69,0.14,1.14,72.6,3.2,47.4,1714,821,83,1.09,1.02,75.4,13.9,1266,1183,66.2
suNny,https://hltv.org/stats/players/5479/suNny?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,TRUE,1.12,1.01,1.06,1.1,1.11,1.11,59,94,143,163,169,80.9,0.73,0.66,0.13,1.14,70.1,4.9,47.9,4642,2263,303,1.09,1.04,76.9,16,3383,3080,65
leo_druNky,https://hltv.org/stats/players/11329/leo_druNky?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.11,0.79,0.72,0.85,0.93,1.02,3,7,9,14,16,79.3,0.73,0.68,0.13,1.18,70.3,4.3,48.6,1170,563,52,0.94,1.08,75.3,18.9,850,798,62.2
Hiko,https://hltv.org/stats/players/2644/Hiko?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.11,0.81,0.81,0.89,0.98,1.03,2,2,6,12,31,74.1,0.67,0.59,0.15,0.97,75.6,4.5,54.8,1314,601,110,1.13,0.9,79.1,9.5,880,770,59.6
k0nfig,https://hltv.org/stats/players/9078/k0nfig?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.11,0.92,1.12,1.08,1.1,1.11,6,22,54,64,80,80.7,0.73,0.71,0.14,1.22,69.5,3.2,57.6,2122,1016,43,0.99,1.14,73.3,20.6,1547,1504,67.5
kioShiMa,https://hltv.org/stats/players/4959/kioShiMa?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.11,0.9,0.94,1.03,1.02,1.04,14,21,29,36,50,80,0.71,0.66,0.14,1.1,70.5,5.6,51.7,1639,784,83,1.44,1.08,65.3,15.1,1157,1074,59.4
Xyp9x,https://hltv.org/stats/players/4954/Xyp9x?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,TRUE,1.11,1.05,1.08,1.09,1.09,1.1,57,119,145,157,163,74,0.66,0.57,0.15,1.02,73.7,6.2,38.7,4235,1902,376,1.07,0.93,75.3,9.8,2803,2427,71.3
jks,https://hltv.org/stats/players/4679/jks?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.11,1.06,1.06,1.05,1.05,1.05,12,33,62,92,97,77.9,0.71,0.64,0.12,1.05,70.9,5.3,53,3040,1406,219,1.4,0.96,73.2,11.6,2150,1931,66.7
ScreaM,https://hltv.org/stats/players/7390/ScreaM?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.1,0.94,0.98,0.98,1.02,1.03,11,16,26,35,45,80.1,0.74,0.68,0.11,1.12,70.1,3.5,62.6,1493,736,89,1.18,1.04,61.1,14.1,1101,1012,55.9
es3tag,https://hltv.org/stats/players/8611/es3tag?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.1,0.92,1,1.08,1.09,1.11,8,18,41,61,79,77.5,0.7,0.67,0.14,1.15,71.6,3.7,35,2327,1100,66,1.15,1.13,70.8,18.1,1624,1558,65.2
bubble,https://hltv.org/stats/players/2799/bubble?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.1,0,0,1.03,0.94,1.02,0,0,12,21,42,73.3,0.68,0.6,0.15,1.02,73.7,4.1,39.7,1714,785,129,1.05,0.94,76.8,11.1,1161,1032,67.6
Gratisfaction,https://hltv.org/stats/players/9686/Gratisfaction?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.1,1.02,1.03,1.04,1.01,1.03,4,16,27,48,53,75.5,0.71,0.65,0.11,1.15,69.4,3.2,29.1,2083,1009,143,1.49,1.17,70.9,18.3,1489,1346,65.8
ropz,https://hltv.org/stats/players/11816/ropz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,TRUE,1.1,1.04,1.06,1.09,1.08,1.09,59,94,143,163,169,75.7,0.7,0.61,0.11,1.01,71.9,2.2,51.6,4642,2205,422,1.04,0.96,71.6,11.8,3245,2823,67.2
fer,https://hltv.org/stats/players/8564/fer?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.1,0.92,0.99,1.04,1.05,1.08,48,88,115,132,154,80.3,0.7,0.69,0.15,1.16,70.6,5,47.2,4496,2141,54,1.16,1.16,72.9,19.4,3140,3086,60.9
rain,https://hltv.org/stats/players/8183/rain?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,TRUE,1.1,1.02,1.05,1.07,1.08,1.09,46,99,127,149,157,78.9,0.69,0.68,0.16,1.13,71.7,3.7,53,4364,2071,71,0.97,1.05,76,16.2,3025,2954,67.1
Calyx,https://hltv.org/stats/players/8575/Calyx?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.1,0.86,0.98,1.04,1.09,1.09,5,17,26,44,60,75.3,0.72,0.64,0.11,1.05,71.4,3.1,58,1861,886,143,1.03,0.92,75.2,11.2,1333,1190,64.3
INS,https://hltv.org/stats/players/11140/INS?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.1,1.04,1.04,0.9,0.8,0.83,1,1,6,12,16,82.6,0.72,0.69,0.16,1.14,68.7,6.9,43.8,1267,600,36,0.98,0.99,76.4,14.5,916,880,72
swag,https://hltv.org/stats/players/5021/swag?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.09,0.77,0.89,0.94,1,1.04,6,10,17,29,42,74.2,0.69,0.61,0.12,0.99,73.3,3.7,49.7,1545,732,112,1.03,0.94,72,11.5,1059,947,62.3
cadiaN,https://hltv.org/stats/players/7964/cadiaN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.09,1.01,0.96,0.97,1.03,1.05,5,15,23,32,45,71,0.67,0.6,0.1,1.07,71.2,3,27.1,1699,813,126,1.41,1.17,74.8,19.1,1146,1020,60.6
JUGi,https://hltv.org/stats/players/8783/JUGi?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.09,0.86,1.05,1.08,1.09,1.09,9,34,76,84,102,71,0.68,0.6,0.1,1.07,70.9,2.4,26.5,2666,1258,225,1.38,1.1,68.2,15.8,1823,1598,65.7
DavCost,https://hltv.org/stats/players/8124/DavCost?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.09,0.76,0.76,0.89,0.99,1.02,2,2,7,25,33,71.6,0.69,0.61,0.11,1.06,70.8,2.2,29.1,1385,660,108,1.36,1.11,75.2,16.4,951,843,61.1
shox,https://hltv.org/stats/players/1225/shox?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.09,0.9,0.97,1.04,1.07,1.07,8,33,61,72,81,78.5,0.73,0.68,0.11,1.13,68.7,2.8,51.4,2377,1152,129,1.07,1.05,71.7,16.3,1734,1605,56.2
SZPERO,https://hltv.org/stats/players/973/SZPERO?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.09,0,0,0.95,1.03,1,0,0,8,19,36,73.6,0.7,0.65,0.11,1.12,69.5,2.7,30.8,1437,692,78,1.35,1.15,75.8,18.2,1009,931,57.9
jkaem,https://hltv.org/stats/players/8248/jkaem?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.09,0.96,0.99,1,1.02,1.03,12,32,59,87,91,79.5,0.71,0.69,0.15,1.13,70.3,3.8,52.9,2886,1366,56,0.92,1.03,69.4,16.2,2058,2002,60.4
Furlan,https://hltv.org/stats/players/8327/Furlan?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.09,1.14,1.09,1,1.04,1.04,3,7,32,65,87,78.4,0.69,0.69,0.15,1.12,71.2,4.4,52.8,3176,1492,15,0.89,1.02,76.7,16.1,2199,2184,62
cromen,https://hltv.org/stats/players/10397/cromen?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,FALSE,1.09,0.99,1.08,1.06,1.05,1.04,12,22,26,33,38,73.8,0.7,0.62,0.13,1.05,72.1,4.2,54.4,1190,554,90,0.91,0.93,79.8,11.6,831,741,63.8
