,Webpage,HLTV Top 20,Adj. Rating,ADR,KPR,DPR,APR,Impact,KAST,NadePR,K-D Diff,Opening Kill Ratio,Team win % after 1st kill,% of maps with 1+ rating
cadiaN,https://hltv.org/stats/players/7964/cadiaN?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.71525,78.5,0.75,0.65,0.11,1.27,69.4,2.6,232.0,1.36,72.2,71.1
Snax,https://hltv.org/stats/players/2553/Snax?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True,1.1175,79.4,0.75,0.64,0.12,1.23,70.1,3.9,378.0,1.3,79.0,68.0
HEN1,https://hltv.org/stats/players/8565/HEN1?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.0965,72.3,0.7,0.58,0.11,1.09,70.3,2.6,367.0,1.53,75.7,72.3
DD,https://hltv.org/stats/players/7026/DD?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.7367500000000001,83.1,0.76,0.66,0.16,1.2,74.3,3.9,386.0,1.16,71.8,74.7
captainMo,https://hltv.org/stats/players/5187/captainMo?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.726,78.4,0.76,0.67,0.12,1.2,71.2,1.8,349.0,1.21,76.3,69.0
mixwell,https://hltv.org/stats/players/8370/mixwell?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.0499999999999998,81.1,0.76,0.67,0.14,1.24,72.3,5.3,274.0,1.16,72.3,72.3
ZOREE,https://hltv.org/stats/players/8576/ZOREE?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.27499999999999997,73.1,0.72,0.61,0.12,1.16,71.3,3.5,177.0,1.34,78.1,61.9
ScreaM,https://hltv.org/stats/players/7390/ScreaM?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True,1.1042500000000002,82.4,0.76,0.67,0.12,1.13,71.7,2.5,283.0,1.21,72.4,65.5
WorldEdit,https://hltv.org/stats/players/7403/WorldEdit?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.08825,79.1,0.75,0.67,0.12,1.28,68.7,3.1,202.0,1.35,72.9,61.7
autimatic,https://hltv.org/stats/players/8735/autimatic?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.1092500000000003,81.6,0.76,0.67,0.13,1.15,71.8,2.5,235.0,1.13,75.8,63.3
GuardiaN,https://hltv.org/stats/players/2757/GuardiaN?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True,1.12325,73.8,0.72,0.62,0.1,1.16,69.6,2.7,315.0,1.25,81.1,65.5
Summer,https://hltv.org/stats/players/7028/Summer?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.6942500000000001,81.9,0.74,0.65,0.15,1.17,73.2,5.1,396.0,1.13,78.1,68.4
Kjaerbye,https://hltv.org/stats/players/8394/Kjaerbye?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True,1.1287499999999997,81.7,0.75,0.66,0.16,1.14,71.7,3.6,277.0,1.07,71.8,70.6
somebody,https://hltv.org/stats/players/8605/somebody?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.7809999999999999,80.7,0.75,0.66,0.14,1.16,72.5,2.8,361.0,0.98,80.8,65.2
twist,https://hltv.org/stats/players/7443/twist?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.022,85.9,0.77,0.69,0.14,1.29,69.4,4.3,127.0,1.17,71.5,66.7
zhokiNg,https://hltv.org/stats/players/8601/zhokiNg?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.7937500000000002,85.3,0.77,0.7,0.18,1.3,73.5,3.4,256.0,1.07,75.9,70.8
tb,https://hltv.org/stats/players/839/tb?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.6587500000000001,80.2,0.74,0.66,0.16,1.13,72.3,3.7,344.0,1.19,75.1,65.2
HSK,https://hltv.org/stats/players/9174/HSK?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.527,77.1,0.73,0.63,0.12,1.14,72.2,3.2,195.0,1.51,77.8,73.2
Zilkenberg,https://hltv.org/stats/players/8622/Zilkenberg?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.44250000000000006,82.8,0.73,0.66,0.15,1.31,67.4,2.8,92.0,1.02,74.9,64.0
boltz,https://hltv.org/stats/players/8568/boltz?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.03675,84.7,0.74,0.66,0.16,1.1,71.8,8.0,251.0,1.16,75.9,67.9
electronic,https://hltv.org/stats/players/8918/electronic?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.0027499999999998,86.7,0.77,0.71,0.17,1.26,71.1,2.9,77.0,1.07,71.3,74.0
MICHU,https://hltv.org/stats/players/7356/MICHU?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.744,83.9,0.75,0.69,0.15,1.24,71.6,3.4,122.0,0.99,68.4,63.5
flamie,https://hltv.org/stats/players/7594/flamie?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True,1.076,81.4,0.74,0.67,0.14,1.13,70.2,3.4,207.0,1.15,75.3,68.3
znajder,https://hltv.org/stats/players/3847/znajder?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.8500000000000001,80.8,0.75,0.66,0.15,1.15,71.6,5.0,173.0,1.24,75.5,70.1
allu,https://hltv.org/stats/players/695/allu?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.8892499999999999,73.6,0.73,0.65,0.09,1.1,69.0,3.1,176.0,1.63,77.9,65.4
SAGGERTON,https://hltv.org/stats/players/7529/SAGGERTON?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.21025000000000002,80.4,0.75,0.7,0.15,1.26,69.5,4.9,76.0,0.96,77.7,68.3
flusha,https://hltv.org/stats/players/3055/flusha?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True,1.105,83.9,0.72,0.65,0.18,1.13,72.1,7.9,212.0,1.23,80.3,70.8
AZR,https://hltv.org/stats/players/8082/AZR?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.7720000000000001,80.1,0.75,0.72,0.15,1.18,70.2,2.5,72.0,1.25,71.0,61.1
RUSH,https://hltv.org/stats/players/7805/RUSH?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.04625,76.5,0.73,0.67,0.15,1.12,73.2,2.9,159.0,1.14,74.0,65.0
keev,https://hltv.org/stats/players/5799/keev?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.49350000000000005,76.4,0.74,0.69,0.11,1.18,68.2,2.8,71.0,1.16,68.6,56.6
DESPE,https://hltv.org/stats/players/7980/DESPE?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.20700000000000002,71.4,0.68,0.6,0.12,1.1,72.3,3.2,114.0,1.14,84.0,62.3
dennis,https://hltv.org/stats/players/1146/dennis?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,True,1.096,77.2,0.73,0.68,0.12,1.12,72.4,3.6,122.0,1.02,78.6,66.7
jks,https://hltv.org/stats/players/4679/jks?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,0.73925,76.7,0.71,0.64,0.14,0.98,73.0,3.6,136.0,1.08,73.9,65.3
cajunb,https://hltv.org/stats/players/2469/cajunb?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan,False,1.0105,74.2,0.7,0.63,0.12,1.07,70.1,2.1,301.0,1.08,74.0,63.1
