,Webpage,HLTV Top 20,Rating,RatingV5,RatingV10,RatingV20,RatingV30,RatingV50,ADR,KPR,DPR,APR,Impact,KAST,NadeDPR,HS%,Rounds played,Rounds with kills,K-D Diff,Opening kill ratio,Opening kill rating,Team win % after 1st kill,First kill in won rounds,Kills,Deaths,% of maps with 1+ rating
Hatz,https://hltv.org/stats/players/11162/Hatz?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.1,0.0,0.0,0.66,0.66,0.89,77.4,0.72,0.69,0.14,1.16,71.5,3.0,50.4,1232.0,590.0,37.0,1.05,1.13,66.7,17.4,883.0,846.0,0.0
phr,https://hltv.org/stats/players/11891/phr?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.1,0.0,0.0,0.95,0.95,1.04,78.8,0.72,0.68,0.14,1.07,71.6,4.7,54.3,1022.0,499.0,43.0,0.96,0.96,75.3,12.6,739.0,696.0,0.0
bottle,https://hltv.org/stats/players/10168/bottle?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.1,0.0,0.0,1.01,0.82,1.01,78.5,0.72,0.68,0.14,1.1,71.6,3.4,55.7,1597.0,774.0,68.0,1.02,0.98,65.1,11.6,1157.0,1089.0,0.0
Kjaerbye,https://hltv.org/stats/players/8394/Kjaerbye?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True,1.1,1.07,1.09,1.08,1.09,1.09,75.8,0.71,0.65,0.14,1.12,71.0,2.8,53.2,3335.0,1598.0,188.0,1.06,1.03,77.7,15.5,2363.0,2175.0,0.0
juho,https://hltv.org/stats/players/7775/juho?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.09,0.0,0.0,0.0,1.09,1.08,78.0,0.71,0.7,0.15,1.2,70.2,2.3,42.3,1014.0,479.0,6.0,1.03,1.12,70.8,18.2,717.0,711.0,0.0
acoR,https://hltv.org/stats/players/10330/acoR?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.09,0.0,0.0,0.74,0.95,1.0,76.8,0.71,0.65,0.13,1.05,71.8,3.0,54.4,1281.0,599.0,71.0,0.83,0.92,70.0,11.5,907.0,836.0,0.0
disco doplan,https://hltv.org/stats/players/9256/disco%20doplan?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.09,0.86,0.9,1.0,0.98,1.04,76.0,0.72,0.65,0.12,1.03,72.2,2.2,40.3,1332.0,653.0,95.0,1.1,0.99,72.6,13.4,958.0,863.0,0.0
apEX,https://hltv.org/stats/players/7322/apEX?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.09,1.08,1.06,1.07,1.07,1.07,81.5,0.73,0.7,0.15,1.13,69.4,3.4,51.8,3094.0,1517.0,95.0,0.88,0.99,74.0,14.6,2255.0,2160.0,0.0
bubble,https://hltv.org/stats/players/2799/bubble?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.09,0.0,0.0,1.27,1.18,1.07,78.1,0.68,0.64,0.17,1.03,72.8,4.1,36.7,948.0,452.0,30.0,1.17,1.01,72.5,13.3,641.0,611.0,0.0
Ex6TenZ,https://hltv.org/stats/players/7166/Ex6TenZ?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.09,0.0,1.21,1.01,1.01,1.01,77.8,0.71,0.66,0.12,1.09,69.9,3.4,40.8,1246.0,601.0,56.0,1.19,1.04,74.4,15.5,884.0,828.0,0.0
felps,https://hltv.org/stats/players/9219/felps?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.09,1.07,1.05,1.08,1.08,1.09,82.0,0.72,0.71,0.16,1.15,69.4,3.2,43.7,3027.0,1443.0,32.0,0.86,1.0,75.1,15.0,2171.0,2139.0,0.0
f0rest,https://hltv.org/stats/players/29/f0rest?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.09,1.05,1.06,1.07,1.07,1.08,76.7,0.74,0.68,0.13,1.05,72.0,2.3,55.4,1919.0,986.0,127.0,1.07,0.97,72.9,12.6,1423.0,1296.0,0.0
BARBARR,https://hltv.org/stats/players/44/BARBARR?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.09,0.0,0.94,1.02,1.01,0.96,79.1,0.71,0.67,0.14,1.08,70.1,4.5,45.0,1126.0,538.0,43.0,1.05,1.0,65.5,11.8,794.0,751.0,0.0
mixwell,https://hltv.org/stats/players/8370/mixwell?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.09,0.95,1.0,1.02,1.06,1.08,76.5,0.71,0.68,0.13,1.15,69.4,4.8,36.5,2369.0,1113.0,73.0,1.17,1.1,69.7,18.1,1678.0,1605.0,0.0
ofnu,https://hltv.org/stats/players/8767/ofnu?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.09,0.0,0.0,0.0,0.67,0.71,79.7,0.73,0.68,0.14,1.09,70.0,4.1,47.7,1585.0,765.0,80.0,1.13,0.99,73.6,13.0,1150.0,1070.0,0.0
Savage,https://hltv.org/stats/players/180/Savage?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.09,0.0,0.0,0.0,0.92,1.01,75.3,0.7,0.65,0.12,1.12,69.8,5.5,37.1,1776.0,832.0,102.0,1.06,1.05,78.3,16.1,1249.0,1147.0,0.0
Magisk,https://hltv.org/stats/players/9032/Magisk?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.09,1.06,1.06,1.05,1.07,1.09,80.3,0.72,0.68,0.13,1.11,69.2,3.9,49.8,2419.0,1171.0,93.0,1.11,1.03,72.7,15.3,1746.0,1653.0,0.0
Xyp9x,https://hltv.org/stats/players/4954/Xyp9x?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True,1.09,1.03,1.08,1.07,1.08,1.09,77.6,0.67,0.62,0.16,1.02,70.6,5.4,41.1,3335.0,1504.0,176.0,1.0,0.9,81.8,10.5,2245.0,2069.0,0.0
HZ,https://hltv.org/stats/players/7016/HZ?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.08,0.64,0.72,0.76,0.87,0.94,77.6,0.68,0.68,0.16,1.07,72.5,3.4,48.2,1836.0,845.0,-10.0,0.9,0.97,76.0,13.7,1240.0,1250.0,0.0
DavCost,https://hltv.org/stats/players/8124/DavCost?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.08,0.0,0.99,0.81,0.85,0.98,74.2,0.71,0.65,0.12,1.09,69.8,3.1,33.0,971.0,474.0,59.0,1.39,1.04,81.2,15.8,693.0,634.0,0.0
