,Webpage,HLTV Top 20,Rating,RatingV5,RatingV10,RatingV20,RatingV30,RatingV50,ADR,KPR,DPR,APR,Impact,KAST,NadeDPR,HS%,Rounds played,Rounds with kills,K-D Diff,Opening kill ratio,Opening kill rating,Team win % after 1st kill,First kill in won rounds,Kills,Deaths,% of maps with 1+ rating
jks,https://hltv.org/stats/players/4679/jks?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.05,0.7,0.85,0.9,0.96,1.0,73.9,0.67,0.65,0.12,0.96,70.5,3.8,54.1,1918.0,874.0,38.0,1.07,0.92,74.5,10.8,1288.0,1250.0,0.0
USTILO,https://hltv.org/stats/players/8771/USTILO?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.05,0.84,0.93,0.93,0.97,1.01,75.8,0.68,0.71,0.15,1.12,69.6,2.3,45.3,1918.0,869.0,-59.0,0.72,0.97,72.1,15.9,1312.0,1371.0,0.0
cajunb,https://hltv.org/stats/players/2469/cajunb?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.04,0.99,0.99,1.03,1.03,1.04,69.9,0.67,0.63,0.1,0.98,69.6,2.2,30.9,2606.0,1208.0,103.0,1.36,1.02,78.4,14.7,1740.0,1637.0,0.0
DAVEY,https://hltv.org/stats/players/8508/DAVEY?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.04,0.0,1.08,0.94,0.88,0.89,77.2,0.7,0.69,0.12,1.07,67.1,2.5,39.4,1060.0,490.0,7.0,0.86,0.96,71.6,13.7,741.0,734.0,0.0
KRIMZ,https://hltv.org/stats/players/7528/KRIMZ?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.04,0.94,0.99,1.04,1.04,1.04,76.8,0.68,0.67,0.13,0.97,70.1,3.8,39.4,2199.0,1039.0,18.0,1.07,0.96,72.3,12.5,1492.0,1474.0,0.0
koosta,https://hltv.org/stats/players/9056/koosta?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.04,0.91,0.89,0.93,0.96,1.02,71.1,0.69,0.66,0.1,1.02,69.4,2.7,32.9,1488.0,689.0,43.0,0.87,0.97,74.3,14.6,1029.0,986.0,0.0
FugLy,https://hltv.org/stats/players/8522/FugLy?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.04,1.1,0.95,0.93,0.91,1.05,76.1,0.69,0.68,0.1,0.99,69.1,2.2,43.7,1097.0,514.0,10.0,1.02,0.94,77.8,14.2,758.0,748.0,0.0
ALEX,https://hltv.org/stats/players/8184/ALEX?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.04,0.0,0.0,0.96,0.99,0.99,80.1,0.71,0.74,0.15,1.11,66.4,2.5,46.8,1116.0,517.0,-31.0,0.75,0.96,71.2,15.2,792.0,823.0,0.0
TOAO,https://hltv.org/stats/players/11278/TOAO?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.04,0.0,0.0,0.85,0.82,1.0,69.3,0.66,0.63,0.11,0.99,70.8,3.9,44.0,1022.0,451.0,28.0,0.82,0.91,75.3,11.5,675.0,647.0,0.0
allu,https://hltv.org/stats/players/695/allu?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.04,0.92,0.98,1.0,1.03,1.03,70.6,0.68,0.64,0.09,1.02,68.4,2.9,28.7,2819.0,1338.0,115.0,1.37,1.07,74.2,15.4,1931.0,1816.0,0.0
aune,https://hltv.org/stats/players/11126/aune?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.04,0.0,0.0,0.0,0.0,0.87,72.1,0.63,0.62,0.15,0.92,72.4,6.7,40.0,903.0,396.0,3.0,0.82,0.88,69.7,9.6,565.0,562.0,0.0
jR,https://hltv.org/stats/players/8786/jR?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.03,0.0,0.64,0.85,0.91,0.97,69.3,0.66,0.64,0.1,1.05,68.3,3.6,27.8,1572.0,705.0,25.0,1.13,1.08,74.2,16.9,1035.0,1010.0,0.0
S0tF1k,https://hltv.org/stats/players/9081/S0tF1k?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.03,0.0,0.98,0.76,0.84,0.97,77.0,0.67,0.7,0.15,1.03,69.1,4.8,46.6,971.0,458.0,-26.0,0.9,1.0,71.6,14.8,652.0,678.0,0.0
MODDII,https://hltv.org/stats/players/545/MODDII?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.03,0.88,0.92,0.94,0.97,1.02,74.5,0.65,0.67,0.13,1.01,70.4,3.7,50.4,1736.0,795.0,-29.0,0.94,1.02,74.5,16.3,1133.0,1162.0,0.0
Happy,https://hltv.org/stats/players/7429/Happy?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.03,0.93,0.94,0.95,0.99,1.0,77.0,0.69,0.7,0.12,1.0,67.9,2.7,42.8,2913.0,1402.0,-38.0,1.34,1.02,80.5,15.3,1998.0,2036.0,0.0
reltuC,https://hltv.org/stats/players/8137/reltuC?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.03,0.88,0.91,0.93,0.95,1.01,74.3,0.66,0.68,0.13,1.0,70.2,3.6,41.0,1488.0,689.0,-27.0,1.19,1.02,71.2,14.1,980.0,1007.0,0.0
NEO,https://hltv.org/stats/players/165/NEO?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.03,0.99,1.01,1.0,0.99,1.0,76.6,0.66,0.67,0.16,1.0,68.6,5.4,37.7,3012.0,1334.0,-54.0,0.77,0.89,68.2,10.8,1976.0,2030.0,0.0
bodyy,https://hltv.org/stats/players/8374/bodyy?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.03,1.0,1.03,1.02,1.02,1.03,71.7,0.64,0.67,0.14,0.97,71.5,2.8,55.3,2599.0,1156.0,-63.0,0.88,0.94,76.7,12.7,1668.0,1731.0,0.0
RUBINO,https://hltv.org/stats/players/1485/RUBINO?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.03,1.0,1.04,1.02,1.02,1.04,72.2,0.67,0.67,0.12,0.93,70.9,2.2,50.3,1144.0,537.0,9.0,0.88,0.89,74.7,11.0,770.0,761.0,0.0
SicK,https://hltv.org/stats/players/9258/SicK?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.02,0.8,0.97,0.98,1.01,1.02,72.7,0.69,0.7,0.12,1.02,69.7,2.0,48.3,1484.0,694.0,-16.0,0.84,0.95,65.0,12.7,1019.0,1035.0,0.0
sAw,https://hltv.org/stats/players/7821/sAw?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.02,0.0,0.0,0.0,1.03,0.94,71.2,0.64,0.64,0.17,0.91,71.8,4.4,45.0,1341.0,589.0,-7.0,0.78,0.86,82.4,10.4,853.0,860.0,0.0
SHOOWTiME,https://hltv.org/stats/players/9220/SHOOWTiME?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.02,0.91,0.88,0.9,0.9,0.98,76.2,0.71,0.7,0.11,1.03,66.8,2.5,47.1,1011.0,483.0,12.0,1.02,0.98,68.8,13.6,716.0,704.0,0.0
yel,https://hltv.org/stats/players/10560/yel?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.02,0.77,0.77,0.87,0.93,1.01,69.2,0.67,0.65,0.1,1.07,67.1,1.9,27.6,1011.0,465.0,15.0,1.25,1.15,73.7,20.9,674.0,659.0,0.0
keev,https://hltv.org/stats/players/5799/keev?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.02,0.96,0.93,0.98,1.01,1.01,66.4,0.67,0.66,0.08,1.08,67.8,2.7,27.8,2175.0,987.0,24.0,1.49,1.19,78.2,20.5,1458.0,1434.0,0.0
devoduvek,https://hltv.org/stats/players/10569/devoduvek?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.02,0.76,1.03,0.99,1.01,1.03,76.5,0.64,0.7,0.15,0.98,70.7,3.1,50.1,1374.0,620.0,-80.0,0.88,0.97,67.2,13.9,884.0,964.0,0.0
DickStacy,https://hltv.org/stats/players/12876/DickStacy?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.02,0.0,0.0,0.0,1.13,1.02,73.9,0.67,0.7,0.14,1.01,69.9,2.8,50.0,2141.0,1000.0,-58.0,0.96,0.99,73.2,13.9,1432.0,1490.0,0.0
Skadoodle,https://hltv.org/stats/players/7440/Skadoodle?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.02,0.93,0.9,0.99,1.0,1.01,66.1,0.63,0.61,0.1,0.9,71.4,2.6,23.6,2927.0,1307.0,69.0,1.49,1.0,78.7,13.1,1851.0,1782.0,0.0
stk,https://hltv.org/stats/players/12129/stk?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.02,0.0,0.0,0.0,0.82,0.84,74.9,0.64,0.69,0.18,0.97,71.8,2.9,40.8,1731.0,781.0,-90.0,0.92,0.96,71.7,12.7,1105.0,1195.0,0.0
kioShiMa,https://hltv.org/stats/players/4959/kioShiMa?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.02,0.97,1.03,1.01,1.02,1.02,74.5,0.64,0.66,0.13,0.95,69.4,4.6,51.4,2039.0,916.0,-41.0,1.04,0.94,73.5,11.5,1310.0,1351.0,0.0
Edward,https://hltv.org/stats/players/483/Edward?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.02,0.9,0.95,1.0,1.01,1.01,71.2,0.66,0.67,0.13,1.0,69.2,2.4,53.4,2540.0,1151.0,-25.0,0.86,0.95,73.1,12.9,1671.0,1696.0,0.0
aizy,https://hltv.org/stats/players/8095/aizy?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.02,0.94,0.98,1.02,1.01,1.02,74.4,0.64,0.69,0.15,1.01,69.7,3.9,51.5,2602.0,1145.0,-131.0,0.96,0.98,76.9,14.6,1667.0,1798.0,0.0
quix,https://hltv.org/stats/players/3329/quix?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.02,0.0,0.0,0.0,0.0,0.91,77.7,0.69,0.73,0.15,1.07,66.6,4.9,49.6,1021.0,479.0,-39.0,0.86,0.94,77.8,13.8,707.0,746.0,0.0
BURNRUOk,https://hltv.org/stats/players/9636/BURNRUOk?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.02,0.0,0.0,0.0,0.94,0.95,73.6,0.67,0.71,0.12,1.12,66.5,2.7,50.6,1897.0,842.0,-76.0,0.9,1.05,74.7,18.0,1268.0,1344.0,0.0
WorldEdit,https://hltv.org/stats/players/7403/WorldEdit?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.01,1.03,0.95,0.91,0.97,0.99,70.1,0.66,0.66,0.11,1.03,67.1,3.1,27.1,970.0,445.0,-6.0,1.06,1.05,70.6,15.9,639.0,645.0,0.0
Dosia,https://hltv.org/stats/players/735/Dosia?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.01,0.94,0.99,1.01,1.01,1.01,75.3,0.65,0.68,0.15,0.94,69.4,6.1,45.6,3032.0,1385.0,-82.0,0.92,0.92,75.4,11.6,1973.0,2055.0,0.0
jmqa,https://hltv.org/stats/players/8368/jmqa?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.01,0.0,1.03,0.94,0.9,0.93,73.8,0.65,0.67,0.15,0.96,69.4,4.6,52.8,964.0,445.0,-20.0,0.95,0.93,78.5,13.0,625.0,645.0,0.0
wizard,https://hltv.org/stats/players/9105/wizard?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.01,0.0,0.0,0.37,0.68,0.69,75.9,0.67,0.7,0.15,1.03,67.9,2.8,46.0,1436.0,659.0,-53.0,1.03,1.02,66.2,13.2,956.0,1009.0,0.0
es3tag,https://hltv.org/stats/players/8611/es3tag?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.01,1.04,0.99,0.93,0.92,1.0,74.6,0.64,0.7,0.16,1.02,70.1,4.7,37.1,1458.0,649.0,-87.0,0.87,1.0,68.2,14.7,927.0,1014.0,0.0
to1nou,https://hltv.org/stats/players/7982/to1nou?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.01,0.0,1.11,0.86,0.93,0.95,67.2,0.64,0.65,0.1,0.99,68.5,2.3,35.4,1246.0,555.0,-13.0,1.3,1.07,73.5,16.2,803.0,816.0,0.0
Console,https://hltv.org/stats/players/10404/Console?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.01,0.78,0.78,0.75,1.09,1.02,72.1,0.62,0.65,0.17,0.93,70.9,4.4,37.7,1531.0,652.0,-56.0,1.02,0.93,73.8,11.0,942.0,998.0,0.0
xms,https://hltv.org/stats/players/9545/xms?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.01,0.9,0.83,0.94,0.95,0.97,71.6,0.65,0.7,0.13,1.03,69.3,2.3,62.2,2875.0,1243.0,-144.0,0.75,0.94,67.4,13.5,1864.0,2008.0,0.0
flickz,https://hltv.org/stats/players/11844/flickz?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.01,0.0,0.0,0.0,0.83,0.91,76.6,0.65,0.69,0.16,0.96,69.4,4.4,51.9,1551.0,724.0,-67.0,0.96,0.95,75.2,13.1,1006.0,1073.0,0.0
RUSH,https://hltv.org/stats/players/7805/RUSH?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.01,0.88,0.91,0.96,0.97,0.98,73.0,0.66,0.68,0.15,0.95,70.0,3.6,46.5,2686.0,1225.0,-60.0,0.85,0.91,73.1,11.8,1772.0,1832.0,0.0
tb,https://hltv.org/stats/players/839/tb?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.01,0.0,0.0,0.0,0.87,0.84,70.4,0.65,0.66,0.15,0.93,70.2,2.8,49.3,1286.0,584.0,-12.0,0.95,0.89,84.1,10.5,842.0,854.0,0.0
captainMo,https://hltv.org/stats/players/5187/captainMo?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.0,0.67,0.79,0.86,0.91,0.92,68.6,0.66,0.68,0.11,1.01,69.4,2.4,36.2,2854.0,1307.0,-57.0,0.86,1.0,74.7,15.7,1894.0,1951.0,0.0
Sync,https://hltv.org/stats/players/12080/Sync?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.0,0.0,0.0,0.0,0.98,1.05,72.3,0.66,0.68,0.14,0.97,68.8,2.9,40.3,1672.0,756.0,-30.0,1.03,0.92,71.5,10.5,1111.0,1141.0,0.0
LOVEYY,https://hltv.org/stats/players/8957/LOVEYY?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.0,0.0,1.03,0.98,0.88,0.86,73.7,0.65,0.7,0.14,1.01,69.0,3.2,51.6,2262.0,1025.0,-117.0,0.84,0.98,69.1,14.1,1475.0,1592.0,0.0
AZR,https://hltv.org/stats/players/8082/AZR?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.0,0.82,0.88,0.96,0.97,0.97,74.0,0.66,0.72,0.14,0.94,70.4,2.7,48.9,1918.0,912.0,-97.0,0.84,0.93,65.1,11.1,1275.0,1372.0,0.0
steel,https://hltv.org/stats/players/7382/steel?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.0,0.91,0.9,0.96,0.98,0.98,71.5,0.66,0.67,0.13,0.95,68.8,2.9,34.8,2620.0,1175.0,-39.0,0.99,0.93,76.0,11.7,1719.0,1758.0,0.0
jdm64,https://hltv.org/stats/players/8346/jdm64?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.0,0.95,0.94,0.97,0.98,1.0,67.7,0.64,0.65,0.09,0.99,68.6,3.7,26.0,2886.0,1306.0,-47.0,1.2,1.1,74.6,17.9,1843.0,1890.0,0.0
dennis,https://hltv.org/stats/players/1146/dennis?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.0,0.96,0.96,0.98,0.99,1.0,73.4,0.68,0.72,0.14,1.02,68.4,2.5,54.2,1815.0,837.0,-65.0,0.85,0.96,71.8,13.8,1236.0,1301.0,0.0
Xizt,https://hltv.org/stats/players/884/Xizt?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.0,0.99,0.93,0.97,0.99,0.99,71.6,0.62,0.69,0.15,0.95,71.7,3.9,43.3,1919.0,838.0,-136.0,1.09,1.0,73.5,13.9,1189.0,1325.0,0.0
Snappi,https://hltv.org/stats/players/922/Snappi?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.0,0.92,0.94,0.95,0.96,0.99,72.6,0.66,0.7,0.14,0.97,69.9,2.9,42.7,1736.0,818.0,-65.0,1.04,0.99,71.9,13.7,1151.0,1216.0,0.0
Inzta,https://hltv.org/stats/players/7463/Inzta?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,1.0,0.7,0.7,0.85,1.04,0.93,74.6,0.64,0.69,0.15,1.01,67.9,2.8,41.7,1531.0,684.0,-79.0,0.78,0.97,71.4,14.0,984.0,1063.0,0.0
gla1ve,https://hltv.org/stats/players/7412/gla1ve?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.99,0.91,0.96,0.98,0.99,0.99,72.4,0.61,0.66,0.15,0.96,68.7,5.0,44.1,3335.0,1418.0,-171.0,0.84,0.94,71.3,12.2,2037.0,2208.0,0.0
keshandr,https://hltv.org/stats/players/8788/keshandr?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.99,0.0,0.62,0.77,0.88,0.96,75.2,0.65,0.7,0.16,0.93,69.4,3.1,46.6,1572.0,729.0,-93.0,0.87,0.94,70.2,12.1,1014.0,1107.0,0.0
DESPE,https://hltv.org/stats/players/7980/DESPE?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.99,0.0,0.73,0.9,0.91,0.94,64.6,0.62,0.63,0.08,0.9,70.4,2.5,31.6,918.0,409.0,-14.0,1.39,1.06,77.1,14.3,567.0,581.0,0.0
chuch,https://hltv.org/stats/players/9109/chuch?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.99,0.0,0.0,0.0,0.85,0.86,73.4,0.65,0.72,0.16,1.04,69.4,3.3,39.7,1377.0,612.0,-93.0,0.84,0.97,69.3,13.8,897.0,990.0,0.0
chrisJ,https://hltv.org/stats/players/2730/chrisJ?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.99,0.88,0.91,0.95,0.97,0.99,68.9,0.62,0.68,0.12,0.97,70.0,3.4,46.2,2256.0,995.0,-127.0,1.0,1.03,70.4,14.8,1400.0,1527.0,0.0
Jonji,https://hltv.org/stats/players/12113/Jonji?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.99,0.0,0.93,0.92,0.88,0.87,77.5,0.66,0.76,0.17,1.07,66.4,4.9,44.4,1040.0,473.0,-105.0,0.77,1.0,62.0,15.6,684.0,789.0,0.0
hampus,https://hltv.org/stats/players/9766/hampus?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.99,0.0,0.66,0.85,0.9,0.92,75.0,0.66,0.73,0.15,1.04,67.0,2.9,38.4,1383.0,612.0,-97.0,0.87,0.99,77.8,15.4,913.0,1010.0,0.0
kyoto,https://hltv.org/stats/players/9110/kyoto?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.99,0.0,0.0,0.0,0.62,0.62,71.8,0.65,0.69,0.13,0.95,68.4,3.6,51.5,1199.0,532.0,-48.0,1.02,0.94,70.8,11.3,778.0,826.0,0.0
stanislaw,https://hltv.org/stats/players/8507/stanislaw?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.98,0.85,0.87,0.95,0.97,0.98,73.5,0.63,0.68,0.13,0.93,68.0,6.0,48.9,2462.0,1085.0,-125.0,0.85,0.92,71.2,11.7,1547.0,1672.0,0.0
pyth,https://hltv.org/stats/players/7527/pyth?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.98,0.73,0.8,0.89,0.92,0.93,70.1,0.66,0.71,0.1,0.9,69.6,3.4,54.2,1051.0,497.0,-49.0,1.05,0.96,68.5,11.2,694.0,743.0,0.0
Jayzwalkingz,https://hltv.org/stats/players/9763/Jayzwalkingz?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.98,0.4,0.79,0.87,0.92,0.89,67.0,0.62,0.66,0.1,0.94,69.1,3.9,34.4,1013.0,452.0,-42.0,1.21,1.04,66.3,14.1,628.0,670.0,0.0
ptr,https://hltv.org/stats/players/8707/ptr?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.97,0.0,0.83,0.92,0.91,0.94,66.4,0.62,0.65,0.1,0.96,65.7,3.3,26.8,1020.0,431.0,-30.0,1.06,1.0,64.0,13.7,628.0,658.0,0.0
Zeus,https://hltv.org/stats/players/484/Zeus?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.97,0.88,0.95,0.96,0.96,0.97,71.1,0.6,0.68,0.15,0.88,69.9,5.8,41.3,2455.0,1063.0,-206.0,0.91,0.94,72.8,12.0,1468.0,1674.0,0.0
karrigan,https://hltv.org/stats/players/429/karrigan?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.97,0.87,0.92,0.95,0.97,0.97,68.5,0.61,0.66,0.13,0.87,69.6,4.3,43.3,3643.0,1566.0,-189.0,0.8,0.88,74.6,10.1,2221.0,2410.0,0.0
Golden,https://hltv.org/stats/players/11110/Golden?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.97,0.9,0.89,0.91,0.92,0.94,72.4,0.64,0.71,0.14,0.95,67.5,5.1,53.1,1645.0,727.0,-122.0,0.85,0.94,78.4,13.9,1051.0,1173.0,0.0
shroud,https://hltv.org/stats/players/8349/shroud?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.97,0.87,0.91,0.91,0.93,0.95,70.8,0.61,0.68,0.15,0.94,67.1,3.4,54.5,2023.0,865.0,-128.0,0.9,0.92,75.8,11.9,1239.0,1367.0,0.0
TaZ,https://hltv.org/stats/players/161/TaZ?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.97,0.9,0.92,0.94,0.95,0.95,68.1,0.63,0.67,0.12,0.9,68.8,1.7,50.4,3012.0,1306.0,-146.0,0.89,0.91,74.6,11.5,1884.0,2030.0,0.0
gob b,https://hltv.org/stats/players/136/gob%20b?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.96,0.99,0.99,0.93,0.95,0.98,68.1,0.59,0.67,0.14,0.86,70.2,5.8,48.9,2175.0,914.0,-157.0,0.88,0.9,69.5,10.2,1293.0,1450.0,0.0
arch,https://hltv.org/stats/players/8410/arch?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.96,0.0,0.0,0.72,0.8,0.82,71.3,0.65,0.71,0.12,0.92,66.2,2.3,49.2,1202.0,543.0,-63.0,0.85,0.86,76.6,10.2,785.0,848.0,0.0
STYKO,https://hltv.org/stats/players/6904/STYKO?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.96,0.8,0.89,0.9,0.95,0.95,69.6,0.61,0.67,0.14,0.84,69.5,4.2,56.4,2326.0,993.0,-149.0,0.75,0.85,72.0,9.5,1408.0,1557.0,0.0
badger,https://hltv.org/stats/players/12760/badger?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.96,0.0,0.0,0.0,0.75,0.91,69.1,0.63,0.7,0.15,0.98,66.9,1.9,38.5,1052.0,455.0,-76.0,0.9,0.95,78.7,14.4,659.0,735.0,0.0
TACO,https://hltv.org/stats/players/9217/TACO?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.96,0.93,0.93,0.94,0.95,0.96,64.1,0.58,0.63,0.11,0.84,69.8,3.1,47.9,4359.0,1840.0,-184.0,0.99,0.94,73.4,10.8,2541.0,2725.0,0.0
ryk,https://hltv.org/stats/players/2284/ryk?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.96,0.0,0.0,0.0,0.42,0.85,66.5,0.61,0.68,0.11,0.96,67.6,3.2,38.5,967.0,416.0,-70.0,0.97,1.04,77.5,17.0,589.0,659.0,0.0
SIXER,https://hltv.org/stats/players/147/SIXER?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.96,0.79,0.87,0.89,0.91,0.93,63.8,0.59,0.64,0.1,0.83,69.0,1.9,35.4,2913.0,1248.0,-126.0,0.98,0.93,75.5,11.8,1724.0,1850.0,0.0
nitr0,https://hltv.org/stats/players/7687/nitr0?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.95,0.88,0.9,0.93,0.93,0.95,67.7,0.6,0.69,0.13,0.92,68.2,4.8,48.0,2886.0,1212.0,-245.0,0.81,0.93,70.0,12.6,1736.0,1981.0,0.0
DeadFox,https://hltv.org/stats/players/8716/DeadFox?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.95,1.07,1.04,0.95,0.92,0.95,64.8,0.59,0.66,0.12,0.86,70.1,3.4,35.7,1598.0,683.0,-113.0,0.97,0.97,71.3,13.4,946.0,1059.0,0.0
MSL,https://hltv.org/stats/players/7156/MSL?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.95,0.88,0.93,0.95,0.93,0.94,70.6,0.61,0.74,0.16,1.02,67.0,3.8,43.6,2606.0,1099.0,-349.0,0.81,1.0,69.1,15.8,1582.0,1931.0,0.0
pecks,https://hltv.org/stats/players/10163/pecks?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.95,0.89,0.96,0.7,0.8,0.89,65.6,0.59,0.65,0.14,0.79,70.4,4.1,42.8,1320.0,566.0,-79.0,0.72,0.82,72.0,7.6,783.0,862.0,0.0
n0thing,https://hltv.org/stats/players/203/n0thing?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.94,0.86,0.91,0.92,0.92,0.94,68.8,0.64,0.71,0.11,0.88,67.7,3.5,54.2,1883.0,857.0,-124.0,0.76,0.91,72.8,12.4,1204.0,1328.0,0.0
denis,https://hltv.org/stats/players/7511/denis?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.94,0.81,0.89,0.9,0.91,0.94,71.3,0.65,0.73,0.13,0.94,66.1,2.0,40.2,1125.0,511.0,-89.0,0.78,0.93,78.8,15.2,727.0,816.0,0.0
LEGIJA,https://hltv.org/stats/players/3252/LEGIJA?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.94,0.91,0.76,0.86,0.91,0.91,67.9,0.58,0.69,0.16,0.91,67.5,4.5,48.4,2175.0,898.0,-229.0,0.71,0.89,73.1,12.1,1271.0,1500.0,0.0
sycrone,https://hltv.org/stats/players/9295/sycrone?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.93,0.0,0.0,0.54,0.74,0.81,66.1,0.57,0.65,0.15,0.79,70.3,3.5,37.4,1056.0,438.0,-80.0,0.76,0.85,77.9,10.1,602.0,682.0,0.0
seized,https://hltv.org/stats/players/3347/seized?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.93,0.83,0.88,0.91,0.92,0.93,68.4,0.59,0.69,0.15,0.92,66.6,5.9,46.0,2141.0,892.0,-214.0,0.82,0.93,71.7,12.7,1262.0,1476.0,0.0
friberg,https://hltv.org/stats/players/7148/friberg?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,False,0.93,0.85,0.86,0.88,0.92,0.92,69.9,0.59,0.71,0.15,0.88,67.0,4.5,44.2,1438.0,603.0,-166.0,0.68,0.85,59.6,8.9,851.0,1017.0,0.0
