,Webpage
XANTARES,https://hltv.org/stats/players/7938/XANTARES?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
ZELIN,https://hltv.org/stats/players/9001/ZELIN?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
coldzera,https://hltv.org/stats/players/9216/coldzera?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
oskar,https://hltv.org/stats/players/798/oskar?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
device,https://hltv.org/stats/players/7592/device?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
mou,https://hltv.org/stats/players/964/mou?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
NiKo,https://hltv.org/stats/players/3741/NiKo?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
paz,https://hltv.org/stats/players/9353/paz?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
XigN,https://hltv.org/stats/players/9172/XigN?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
KILLDREAM,https://hltv.org/stats/players/5792/KILLDREAM?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
Mr.six,https://hltv.org/stats/players/10885/Mr.six?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
Magisk,https://hltv.org/stats/players/9032/Magisk?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
valde,https://hltv.org/stats/players/9031/valde?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
bubble,https://hltv.org/stats/players/2799/bubble?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
REZ,https://hltv.org/stats/players/9278/REZ?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
s1mple,https://hltv.org/stats/players/7998/s1mple?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
kennyS,https://hltv.org/stats/players/7167/kennyS?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
AdreN,https://hltv.org/stats/players/334/AdreN?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
FalleN,https://hltv.org/stats/players/2023/FalleN?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
suNny,https://hltv.org/stats/players/5479/suNny?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
k0nfig,https://hltv.org/stats/players/9078/k0nfig?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
shox,https://hltv.org/stats/players/1225/shox?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
draken,https://hltv.org/stats/players/9255/draken?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
olofmeister,https://hltv.org/stats/players/885/olofmeister?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
Savage,https://hltv.org/stats/players/180/Savage?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
LOVEYY,https://hltv.org/stats/players/8957/LOVEYY?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
cadiaN,https://hltv.org/stats/players/7964/cadiaN?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
Snax,https://hltv.org/stats/players/2553/Snax?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
HEN1,https://hltv.org/stats/players/8565/HEN1?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
DD,https://hltv.org/stats/players/7026/DD?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
captainMo,https://hltv.org/stats/players/5187/captainMo?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
mixwell,https://hltv.org/stats/players/8370/mixwell?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
ZOREE,https://hltv.org/stats/players/8576/ZOREE?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
ScreaM,https://hltv.org/stats/players/7390/ScreaM?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
WorldEdit,https://hltv.org/stats/players/7403/WorldEdit?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
autimatic,https://hltv.org/stats/players/8735/autimatic?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
GuardiaN,https://hltv.org/stats/players/2757/GuardiaN?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
Summer,https://hltv.org/stats/players/7028/Summer?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
Kjaerbye,https://hltv.org/stats/players/8394/Kjaerbye?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
somebody,https://hltv.org/stats/players/8605/somebody?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
twist,https://hltv.org/stats/players/7443/twist?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
zhokiNg,https://hltv.org/stats/players/8601/zhokiNg?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
tb,https://hltv.org/stats/players/839/tb?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
HSK,https://hltv.org/stats/players/9174/HSK?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
Zilkenberg,https://hltv.org/stats/players/8622/Zilkenberg?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
boltz,https://hltv.org/stats/players/8568/boltz?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
electronic,https://hltv.org/stats/players/8918/electronic?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
MICHU,https://hltv.org/stats/players/7356/MICHU?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
flamie,https://hltv.org/stats/players/7594/flamie?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
znajder,https://hltv.org/stats/players/3847/znajder?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
allu,https://hltv.org/stats/players/695/allu?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
SAGGERTON,https://hltv.org/stats/players/7529/SAGGERTON?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
flusha,https://hltv.org/stats/players/3055/flusha?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
AZR,https://hltv.org/stats/players/8082/AZR?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
RUSH,https://hltv.org/stats/players/7805/RUSH?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
keev,https://hltv.org/stats/players/5799/keev?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
DESPE,https://hltv.org/stats/players/7980/DESPE?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
dennis,https://hltv.org/stats/players/1146/dennis?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
jks,https://hltv.org/stats/players/4679/jks?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
cajunb,https://hltv.org/stats/players/2469/cajunb?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
dupreeh,https://hltv.org/stats/players/7398/dupreeh?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
rain,https://hltv.org/stats/players/8183/rain?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
freddieb,https://hltv.org/stats/players/9257/freddieb?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
aizy,https://hltv.org/stats/players/8095/aizy?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
fer,https://hltv.org/stats/players/8564/fer?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
f0rest,https://hltv.org/stats/players/29/f0rest?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
BARBARR,https://hltv.org/stats/players/44/BARBARR?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
MODDII,https://hltv.org/stats/players/545/MODDII?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
bottle,https://hltv.org/stats/players/10168/bottle?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
Rickeh,https://hltv.org/stats/players/8745/Rickeh?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
EliGE,https://hltv.org/stats/players/8738/EliGE?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
byali,https://hltv.org/stats/players/5386/byali?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
kalle,https://hltv.org/stats/players/646/kalle?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
nex,https://hltv.org/stats/players/7256/nex?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
fnx,https://hltv.org/stats/players/557/fnx?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
fejtZ,https://hltv.org/stats/players/7910/fejtZ?startDate=2016-01-01&endDate=2016-12-31&matchType=Lan
