,Webpage
MINISE,https://hltv.org/stats/players/2826/MINISE?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
SicK,https://hltv.org/stats/players/9258/SicK?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
GuardiaN,https://hltv.org/stats/players/2757/GuardiaN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
SHiPZ,https://hltv.org/stats/players/11343/SHiPZ?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
suNny,https://hltv.org/stats/players/5479/suNny?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
leo_druNky,https://hltv.org/stats/players/11329/leo_druNky?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Hiko,https://hltv.org/stats/players/2644/Hiko?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
k0nfig,https://hltv.org/stats/players/9078/k0nfig?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
kioShiMa,https://hltv.org/stats/players/4959/kioShiMa?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Xyp9x,https://hltv.org/stats/players/4954/Xyp9x?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
jks,https://hltv.org/stats/players/4679/jks?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
ScreaM,https://hltv.org/stats/players/7390/ScreaM?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
es3tag,https://hltv.org/stats/players/8611/es3tag?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
bubble,https://hltv.org/stats/players/2799/bubble?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Gratisfaction,https://hltv.org/stats/players/9686/Gratisfaction?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
ropz,https://hltv.org/stats/players/11816/ropz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
fer,https://hltv.org/stats/players/8564/fer?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
rain,https://hltv.org/stats/players/8183/rain?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Calyx,https://hltv.org/stats/players/8575/Calyx?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
INS,https://hltv.org/stats/players/11140/INS?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
swag,https://hltv.org/stats/players/5021/swag?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
cadiaN,https://hltv.org/stats/players/7964/cadiaN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
JUGi,https://hltv.org/stats/players/8783/JUGi?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
DavCost,https://hltv.org/stats/players/8124/DavCost?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
shox,https://hltv.org/stats/players/1225/shox?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
SZPERO,https://hltv.org/stats/players/973/SZPERO?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
jkaem,https://hltv.org/stats/players/8248/jkaem?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Furlan,https://hltv.org/stats/players/8327/Furlan?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
cromen,https://hltv.org/stats/players/10397/cromen?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Kntz,https://hltv.org/stats/players/10705/Kntz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
cajunb,https://hltv.org/stats/players/2469/cajunb?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Zellsis,https://hltv.org/stats/players/13188/Zellsis?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
nukkye,https://hltv.org/stats/players/13679/nukkye?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
kennyS,https://hltv.org/stats/players/7167/kennyS?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
hampus,https://hltv.org/stats/players/9766/hampus?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
qqGOD,https://hltv.org/stats/players/9289/qqGOD?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
tarik,https://hltv.org/stats/players/8523/tarik?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Cooper-,https://hltv.org/stats/players/15007/Cooper-?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
mouz,https://hltv.org/stats/players/8323/mouz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
erkaSt,https://hltv.org/stats/players/11141/erkaSt?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
REZ,https://hltv.org/stats/players/9278/REZ?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
FalleN,https://hltv.org/stats/players/2023/FalleN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Lekr0,https://hltv.org/stats/players/9261/Lekr0?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Summer,https://hltv.org/stats/players/7028/Summer?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
to1nou,https://hltv.org/stats/players/7982/to1nou?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Brollan,https://hltv.org/stats/players/13666/Brollan?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
somebody,https://hltv.org/stats/players/8605/somebody?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
f0rest,https://hltv.org/stats/players/29/f0rest?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
vanity,https://hltv.org/stats/players/12089/vanity?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Ace,https://hltv.org/stats/players/13273/Ace?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
dazzLe,https://hltv.org/stats/players/11064/dazzLe?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Boombl4,https://hltv.org/stats/players/11840/Boombl4?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
moxie,https://hltv.org/stats/players/9169/moxie?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
Kjaerbye,https://hltv.org/stats/players/8394/Kjaerbye?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
vice,https://hltv.org/stats/players/9260/vice?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
dapr,https://hltv.org/stats/players/11586/dapr?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
smooya,https://hltv.org/stats/players/11271/smooya?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan
