,Webpage
vilga,https://hltv.org/stats/players/1572/vilga?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
XANTARES,https://hltv.org/stats/players/7938/XANTARES?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
frozen,https://hltv.org/stats/players/9960/frozen?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
Aleksib,https://hltv.org/stats/players/9816/Aleksib?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
juliano,https://hltv.org/stats/players/7653/juliano?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
dizzyLife,https://hltv.org/stats/players/8766/dizzyLife?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
zAAz,https://hltv.org/stats/players/1646/zAAz?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
tabseN,https://hltv.org/stats/players/5794/tabseN?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
MICHU,https://hltv.org/stats/players/7356/MICHU?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
huNter-,https://hltv.org/stats/players/3972/huNter-?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
BnTeT,https://hltv.org/stats/players/7131/BnTeT?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
sergej,https://hltv.org/stats/players/11916/sergej?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
s1mple,https://hltv.org/stats/players/7998/s1mple?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
hAdji,https://hltv.org/stats/players/9656/hAdji?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
coldzera,https://hltv.org/stats/players/9216/coldzera?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
RIKO,https://hltv.org/stats/players/11737/RIKO?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
JaCkz,https://hltv.org/stats/players/284/JaCkz?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
NiKo,https://hltv.org/stats/players/3741/NiKo?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
Calyx,https://hltv.org/stats/players/8575/Calyx?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
Aerial,https://hltv.org/stats/players/4076/Aerial?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
Impulse,https://hltv.org/stats/players/12379/Impulse?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
Texta,https://hltv.org/stats/players/11847/Texta?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
fer,https://hltv.org/stats/players/8564/fer?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
MonttY,https://hltv.org/stats/players/9961/MonttY?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
INS,https://hltv.org/stats/players/11140/INS?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
paz,https://hltv.org/stats/players/9353/paz?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
queztone,https://hltv.org/stats/players/7749/queztone?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
ZEDKO,https://hltv.org/stats/players/8488/ZEDKO?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
GruBy,https://hltv.org/stats/players/8570/GruBy?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
mouz,https://hltv.org/stats/players/8323/mouz?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
Sico,https://hltv.org/stats/players/9102/Sico?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
suNny,https://hltv.org/stats/players/5479/suNny?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
ottoNd,https://hltv.org/stats/players/11283/ottoNd?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
oskar,https://hltv.org/stats/players/798/oskar?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
PTC,https://hltv.org/stats/players/13238/PTC?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
mertz,https://hltv.org/stats/players/9895/mertz?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
Liazz,https://hltv.org/stats/players/10588/Liazz?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
kennyS,https://hltv.org/stats/players/7167/kennyS?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
DiMKE,https://hltv.org/stats/players/3732/DiMKE?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
mir,https://hltv.org/stats/players/8789/mir?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
freddieb,https://hltv.org/stats/players/9257/freddieb?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
VKLL,https://hltv.org/stats/players/8426/VKLL?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
shuadapai,https://hltv.org/stats/players/11576/shuadapai?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
deoxiDE,https://hltv.org/stats/players/9117/deoxiDE?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
Freeman,https://hltv.org/stats/players/10774/Freeman?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
device,https://hltv.org/stats/players/7592/device?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
PetitSkel,https://hltv.org/stats/players/8648/PetitSkel?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
Ryxxo,https://hltv.org/stats/players/8848/Ryxxo?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
Summer,https://hltv.org/stats/players/7028/Summer?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
electronic,https://hltv.org/stats/players/8918/electronic?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan
