,Webpage,AgainstTop50
s1mple,https://hltv.org/stats/players/7998/s1mple?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
NiKo,https://hltv.org/stats/players/3741/NiKo?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
device,https://hltv.org/stats/players/7592/device?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
EspiranTo,https://hltv.org/stats/players/12030/EspiranTo?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
nexa,https://hltv.org/stats/players/9618/nexa?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
woxic,https://hltv.org/stats/players/8574/woxic?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
XANTARES,https://hltv.org/stats/players/7938/XANTARES?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
allu,https://hltv.org/stats/players/695/allu?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
electronic,https://hltv.org/stats/players/8918/electronic?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
KRIMZ,https://hltv.org/stats/players/7528/KRIMZ?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
NAF,https://hltv.org/stats/players/8520/NAF?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
coldzera,https://hltv.org/stats/players/9216/coldzera?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
tabseN,https://hltv.org/stats/players/5794/tabseN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Attacker,https://hltv.org/stats/players/8552/Attacker?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
dupreeh,https://hltv.org/stats/players/7398/dupreeh?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
WARDELL,https://hltv.org/stats/players/11264/WARDELL?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
sergej,https://hltv.org/stats/players/11916/sergej?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Ethan,https://hltv.org/stats/players/10671/Ethan?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Magisk,https://hltv.org/stats/players/9032/Magisk?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Sico,https://hltv.org/stats/players/9102/Sico?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
SPELLAN,https://hltv.org/stats/players/11217/SPELLAN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
valde,https://hltv.org/stats/players/9031/valde?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
autimatic,https://hltv.org/stats/players/8735/autimatic?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
COLDYY1,https://hltv.org/stats/players/9083/COLDYY1?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
XigN,https://hltv.org/stats/players/9172/XigN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
v1c7oR,https://hltv.org/stats/players/7834/v1c7oR?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
sdy,https://hltv.org/stats/players/12731/sdy?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
ISSAA,https://hltv.org/stats/players/10449/ISSAA?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Liazz,https://hltv.org/stats/players/10588/Liazz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Aerial,https://hltv.org/stats/players/4076/Aerial?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Brehze,https://hltv.org/stats/players/9136/Brehze?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
moose,https://hltv.org/stats/players/12271/moose?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
rallen,https://hltv.org/stats/players/5388/rallen?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Hatz,https://hltv.org/stats/players/11162/Hatz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
apEX,https://hltv.org/stats/players/7322/apEX?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
CeRq,https://hltv.org/stats/players/11219/CeRq?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
NaToSaphiX,https://hltv.org/stats/players/9294/NaToSaphiX?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
snatchie,https://hltv.org/stats/players/9574/snatchie?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Twistzz,https://hltv.org/stats/players/10394/Twistzz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
gla1ve,https://hltv.org/stats/players/7412/gla1ve?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
oskar,https://hltv.org/stats/players/798/oskar?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
BnTeT,https://hltv.org/stats/players/7131/BnTeT?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Aleksib,https://hltv.org/stats/players/9816/Aleksib?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
dexter,https://hltv.org/stats/players/9115/dexter?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
GruBy,https://hltv.org/stats/players/8570/GruBy?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
mertz,https://hltv.org/stats/players/9895/mertz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
EliGE,https://hltv.org/stats/players/8738/EliGE?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
MINISE,https://hltv.org/stats/players/2826/MINISE?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
SicK,https://hltv.org/stats/players/9258/SicK?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
GuardiaN,https://hltv.org/stats/players/2757/GuardiaN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
SHiPZ,https://hltv.org/stats/players/11343/SHiPZ?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
suNny,https://hltv.org/stats/players/5479/suNny?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Hiko,https://hltv.org/stats/players/2644/Hiko?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
k0nfig,https://hltv.org/stats/players/9078/k0nfig?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
kioShiMa,https://hltv.org/stats/players/4959/kioShiMa?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Xyp9x,https://hltv.org/stats/players/4954/Xyp9x?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
jks,https://hltv.org/stats/players/4679/jks?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
ScreaM,https://hltv.org/stats/players/7390/ScreaM?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
es3tag,https://hltv.org/stats/players/8611/es3tag?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
bubble,https://hltv.org/stats/players/2799/bubble?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Gratisfaction,https://hltv.org/stats/players/9686/Gratisfaction?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
ropz,https://hltv.org/stats/players/11816/ropz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
fer,https://hltv.org/stats/players/8564/fer?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
rain,https://hltv.org/stats/players/8183/rain?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Calyx,https://hltv.org/stats/players/8575/Calyx?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
swag,https://hltv.org/stats/players/5021/swag?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
cadiaN,https://hltv.org/stats/players/7964/cadiaN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
JUGi,https://hltv.org/stats/players/8783/JUGi?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
DavCost,https://hltv.org/stats/players/8124/DavCost?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
shox,https://hltv.org/stats/players/1225/shox?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
SZPERO,https://hltv.org/stats/players/973/SZPERO?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
jkaem,https://hltv.org/stats/players/8248/jkaem?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Furlan,https://hltv.org/stats/players/8327/Furlan?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
cromen,https://hltv.org/stats/players/10397/cromen?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
cajunb,https://hltv.org/stats/players/2469/cajunb?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Zellsis,https://hltv.org/stats/players/13188/Zellsis?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
nukkye,https://hltv.org/stats/players/13679/nukkye?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
kennyS,https://hltv.org/stats/players/7167/kennyS?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
hampus,https://hltv.org/stats/players/9766/hampus?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
tarik,https://hltv.org/stats/players/8523/tarik?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Cooper-,https://hltv.org/stats/players/15007/Cooper-?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
mouz,https://hltv.org/stats/players/8323/mouz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
erkaSt,https://hltv.org/stats/players/11141/erkaSt?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
REZ,https://hltv.org/stats/players/9278/REZ?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
FalleN,https://hltv.org/stats/players/2023/FalleN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Lekr0,https://hltv.org/stats/players/9261/Lekr0?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Summer,https://hltv.org/stats/players/7028/Summer?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
to1nou,https://hltv.org/stats/players/7982/to1nou?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Brollan,https://hltv.org/stats/players/13666/Brollan?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
somebody,https://hltv.org/stats/players/8605/somebody?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
f0rest,https://hltv.org/stats/players/29/f0rest?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Ace,https://hltv.org/stats/players/13273/Ace?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
dazzLe,https://hltv.org/stats/players/11064/dazzLe?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Boombl4,https://hltv.org/stats/players/11840/Boombl4?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Kjaerbye,https://hltv.org/stats/players/8394/Kjaerbye?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
vice,https://hltv.org/stats/players/9260/vice?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
dapr,https://hltv.org/stats/players/11586/dapr?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
smooya,https://hltv.org/stats/players/11271/smooya?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
flamie,https://hltv.org/stats/players/7594/flamie?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
reatz,https://hltv.org/stats/players/8242/reatz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
freakazoid,https://hltv.org/stats/players/7808/freakazoid?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
splashske,https://hltv.org/stats/players/8943/splashske?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
paz,https://hltv.org/stats/players/9353/paz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
zeff,https://hltv.org/stats/players/4637/zeff?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
twist,https://hltv.org/stats/players/7443/twist?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
JW,https://hltv.org/stats/players/3849/JW?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
olofmeister,https://hltv.org/stats/players/885/olofmeister?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
NBK-,https://hltv.org/stats/players/7168/NBK-?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
stanislaw,https://hltv.org/stats/players/8507/stanislaw?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
byali,https://hltv.org/stats/players/5386/byali?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
nex,https://hltv.org/stats/players/7256/nex?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
flusha,https://hltv.org/stats/players/3055/flusha?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Stewie2K,https://hltv.org/stats/players/8797/Stewie2K?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
neptune,https://hltv.org/stats/players/12101/neptune?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Jame,https://hltv.org/stats/players/13776/Jame?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
mou,https://hltv.org/stats/players/964/mou?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
chopper,https://hltv.org/stats/players/7716/chopper?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Dima,https://hltv.org/stats/players/8125/Dima?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
koosta,https://hltv.org/stats/players/9056/koosta?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
TENZKI,https://hltv.org/stats/players/5287/TENZKI?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
MICHU,https://hltv.org/stats/players/7356/MICHU?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
ShahZaM,https://hltv.org/stats/players/7810/ShahZaM?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
nitr0,https://hltv.org/stats/players/7687/nitr0?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
ALEX,https://hltv.org/stats/players/8184/ALEX?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
shuadapai,https://hltv.org/stats/players/11576/shuadapai?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
buster,https://hltv.org/stats/players/11942/buster?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Hobbit,https://hltv.org/stats/players/8528/Hobbit?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
niko,https://hltv.org/stats/players/10264/niko?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
aizy,https://hltv.org/stats/players/8095/aizy?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
waterfaLLZ,https://hltv.org/stats/players/8727/waterfaLLZ?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
xccurate,https://hltv.org/stats/players/10263/xccurate?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
phr,https://hltv.org/stats/players/11891/phr?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
DD,https://hltv.org/stats/players/7026/DD?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
disco doplan,https://hltv.org/stats/players/9256/disco%20doplan?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
steel,https://hltv.org/stats/players/7382/steel?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
malta,https://hltv.org/stats/players/11485/malta?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
ImpressioN,https://hltv.org/stats/players/9339/ImpressioN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
yay,https://hltv.org/stats/players/8513/yay?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
bondik,https://hltv.org/stats/players/2131/bondik?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
denis,https://hltv.org/stats/players/7511/denis?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
AdreN,https://hltv.org/stats/players/334/AdreN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
xseveN,https://hltv.org/stats/players/7248/xseveN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
draken,https://hltv.org/stats/players/9255/draken?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
HSK,https://hltv.org/stats/players/9174/HSK?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
jR,https://hltv.org/stats/players/8786/jR?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
xiaosaGe,https://hltv.org/stats/players/11574/xiaosaGe?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
chrisJ,https://hltv.org/stats/players/2730/chrisJ?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
RUSH,https://hltv.org/stats/players/7805/RUSH?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
friberg,https://hltv.org/stats/players/7148/friberg?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
qikert,https://hltv.org/stats/players/13239/qikert?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Skadoodle,https://hltv.org/stats/players/7440/Skadoodle?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
AZR,https://hltv.org/stats/players/8082/AZR?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
stavn,https://hltv.org/stats/players/10994/stavn?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
refrezh,https://hltv.org/stats/players/10610/refrezh?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
pashaBiceps,https://hltv.org/stats/players/317/pashaBiceps?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
gade,https://hltv.org/stats/players/8875/gade?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Bubzkji,https://hltv.org/stats/players/9612/Bubzkji?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
AcilioN,https://hltv.org/stats/players/8151/AcilioN?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
dennis,https://hltv.org/stats/players/1146/dennis?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
ANDROID,https://hltv.org/stats/players/9043/ANDROID?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Snax,https://hltv.org/stats/players/2553/Snax?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
MODDII,https://hltv.org/stats/players/545/MODDII?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
dobu,https://hltv.org/stats/players/9521/dobu?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Subroza,https://hltv.org/stats/players/11231/Subroza?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
TOAO,https://hltv.org/stats/players/11278/TOAO?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
GeT_RiGhT,https://hltv.org/stats/players/39/GeT_RiGhT?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
dephh,https://hltv.org/stats/players/7873/dephh?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
FugLy,https://hltv.org/stats/players/8522/FugLy?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
boltz,https://hltv.org/stats/players/8568/boltz?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
solo,https://hltv.org/stats/players/174/solo?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
ryann,https://hltv.org/stats/players/12088/ryann?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
pNshr,https://hltv.org/stats/players/1278/pNshr?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Edward,https://hltv.org/stats/players/483/Edward?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
kabal,https://hltv.org/stats/players/10870/kabal?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
MAJ3R,https://hltv.org/stats/players/150/MAJ3R?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Kvik,https://hltv.org/stats/players/8459/Kvik?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Spiidi,https://hltv.org/stats/players/7499/Spiidi?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Ex6TenZ,https://hltv.org/stats/players/7166/Ex6TenZ?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
freddieb,https://hltv.org/stats/players/9257/freddieb?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
dragonfly,https://hltv.org/stats/players/10992/dragonfly?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
ANGE1,https://hltv.org/stats/players/339/ANGE1?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
USTILO,https://hltv.org/stats/players/8771/USTILO?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
Nifty,https://hltv.org/stats/players/9069/Nifty?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
jmqa,https://hltv.org/stats/players/8368/jmqa?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
hAdji,https://hltv.org/stats/players/9656/hAdji?startDate=2018-01-01&endDate=2018-12-31&matchType=Lan,True
