,Webpage,AgainstTop50
alex,https://hltv.org/stats/players/8371/alex?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Kjaerbye,https://hltv.org/stats/players/8394/Kjaerbye?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
qikert,https://hltv.org/stats/players/13239/qikert?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
erkaSt,https://hltv.org/stats/players/11141/erkaSt?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
tabseN,https://hltv.org/stats/players/5794/tabseN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
snatchie,https://hltv.org/stats/players/9574/snatchie?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
ottoNd,https://hltv.org/stats/players/11283/ottoNd?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
buster,https://hltv.org/stats/players/11942/buster?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
stavn,https://hltv.org/stats/players/10994/stavn?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
k1to,https://hltv.org/stats/players/12781/k1to?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
f0rest,https://hltv.org/stats/players/29/f0rest?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Jerry,https://hltv.org/stats/players/13157/Jerry?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
blameF,https://hltv.org/stats/players/15165/blameF?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Vegi,https://hltv.org/stats/players/15204/Vegi?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
EspiranTo,https://hltv.org/stats/players/12030/EspiranTo?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
rain,https://hltv.org/stats/players/8183/rain?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
aumaN,https://hltv.org/stats/players/8604/aumaN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
k0nfig,https://hltv.org/stats/players/9078/k0nfig?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
motm,https://hltv.org/stats/players/13230/motm?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
facecrack,https://hltv.org/stats/players/8726/facecrack?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
flusha,https://hltv.org/stats/players/3055/flusha?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
JW,https://hltv.org/stats/players/3849/JW?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
sjuush,https://hltv.org/stats/players/14148/sjuush?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
nukkye,https://hltv.org/stats/players/13679/nukkye?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
autimatic,https://hltv.org/stats/players/8735/autimatic?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
FalleN,https://hltv.org/stats/players/2023/FalleN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
oSee,https://hltv.org/stats/players/13249/oSee?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
somebody,https://hltv.org/stats/players/8605/somebody?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Snax,https://hltv.org/stats/players/2553/Snax?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Plopski,https://hltv.org/stats/players/14218/Plopski?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
aizy,https://hltv.org/stats/players/8095/aizy?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
kNgV-,https://hltv.org/stats/players/5736/kNgV-?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
shox,https://hltv.org/stats/players/1225/shox?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Boombl4,https://hltv.org/stats/players/11840/Boombl4?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
b0RUP,https://hltv.org/stats/players/9896/b0RUP?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Sidney,https://hltv.org/stats/players/15697/Sidney?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
arT,https://hltv.org/stats/players/12521/arT?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Stewie2K,https://hltv.org/stats/players/8797/Stewie2K?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
gla1ve,https://hltv.org/stats/players/7412/gla1ve?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Freeman,https://hltv.org/stats/players/10774/Freeman?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
flamie,https://hltv.org/stats/players/7594/flamie?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
n0rb3r7,https://hltv.org/stats/players/16612/n0rb3r7?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
es3tag,https://hltv.org/stats/players/8611/es3tag?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
broky,https://hltv.org/stats/players/18053/broky?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
JaCkz,https://hltv.org/stats/players/284/JaCkz?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
felps,https://hltv.org/stats/players/9219/felps?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
mopoz,https://hltv.org/stats/players/9254/mopoz?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
ISSAA,https://hltv.org/stats/players/10449/ISSAA?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
kioShiMa,https://hltv.org/stats/players/4959/kioShiMa?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
WorldEdit,https://hltv.org/stats/players/7403/WorldEdit?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
AmaNEk,https://hltv.org/stats/players/9616/AmaNEk?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
chrisJ,https://hltv.org/stats/players/2730/chrisJ?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Summer,https://hltv.org/stats/players/7028/Summer?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
nitr0,https://hltv.org/stats/players/7687/nitr0?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
faveN,https://hltv.org/stats/players/14932/faveN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Lucky,https://hltv.org/stats/players/13497/Lucky?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
chelo,https://hltv.org/stats/players/10566/chelo?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
XANTARES,https://hltv.org/stats/players/7938/XANTARES?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
zhokiNg,https://hltv.org/stats/players/8601/zhokiNg?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Aerial,https://hltv.org/stats/players/4076/Aerial?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
MINISE,https://hltv.org/stats/players/2826/MINISE?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
REZ,https://hltv.org/stats/players/9278/REZ?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
apEX,https://hltv.org/stats/players/7322/apEX?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
twist,https://hltv.org/stats/players/7443/twist?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
mouz,https://hltv.org/stats/players/8323/mouz?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
cadiaN,https://hltv.org/stats/players/7964/cadiaN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
TeSeS,https://hltv.org/stats/players/12018/TeSeS?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
JUGi,https://hltv.org/stats/players/8783/JUGi?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
neptune,https://hltv.org/stats/players/12101/neptune?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
NBK-,https://hltv.org/stats/players/7168/NBK-?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
GuardiaN,https://hltv.org/stats/players/2757/GuardiaN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
olofmeister,https://hltv.org/stats/players/885/olofmeister?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
ryann,https://hltv.org/stats/players/12088/ryann?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
tarik,https://hltv.org/stats/players/8523/tarik?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Liazz,https://hltv.org/stats/players/10588/Liazz?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
nex,https://hltv.org/stats/players/7256/nex?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Edward,https://hltv.org/stats/players/483/Edward?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
ShahZaM,https://hltv.org/stats/players/7810/ShahZaM?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
malta,https://hltv.org/stats/players/11485/malta?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Snappi,https://hltv.org/stats/players/922/Snappi?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
LUCAS1,https://hltv.org/stats/players/8566/LUCAS1?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
v1c7oR,https://hltv.org/stats/players/7834/v1c7oR?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Aleksib,https://hltv.org/stats/players/9816/Aleksib?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
gade,https://hltv.org/stats/players/8875/gade?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
blocker,https://hltv.org/stats/players/10697/blocker?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
chopper,https://hltv.org/stats/players/7716/chopper?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
cajunb,https://hltv.org/stats/players/2469/cajunb?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
loWel,https://hltv.org/stats/players/3997/loWel?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
VINI,https://hltv.org/stats/players/12822/VINI?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
bottle,https://hltv.org/stats/players/10168/bottle?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
phr,https://hltv.org/stats/players/11891/phr?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Gratisfaction,https://hltv.org/stats/players/9686/Gratisfaction?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Spiidi,https://hltv.org/stats/players/7499/Spiidi?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
ALEX,https://hltv.org/stats/players/8184/ALEX?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
denis,https://hltv.org/stats/players/7511/denis?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
NaToSaphiX,https://hltv.org/stats/players/9294/NaToSaphiX?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
dennis,https://hltv.org/stats/players/1146/dennis?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Attacker,https://hltv.org/stats/players/8552/Attacker?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
xand,https://hltv.org/stats/players/9218/xand?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
xseveN,https://hltv.org/stats/players/7248/xseveN?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
Lekr0,https://hltv.org/stats/players/9261/Lekr0?startDate=2019-01-01&endDate=2019-12-31&matchType=Lan,True
