,Webpage,AgainstTop50
XANTARES,https://hltv.org/stats/players/7938/XANTARES?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
tabseN,https://hltv.org/stats/players/5794/tabseN?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
MICHU,https://hltv.org/stats/players/7356/MICHU?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
BnTeT,https://hltv.org/stats/players/7131/BnTeT?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
s1mple,https://hltv.org/stats/players/7998/s1mple?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
coldzera,https://hltv.org/stats/players/9216/coldzera?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
NiKo,https://hltv.org/stats/players/3741/NiKo?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
Calyx,https://hltv.org/stats/players/8575/Calyx?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
fer,https://hltv.org/stats/players/8564/fer?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
paz,https://hltv.org/stats/players/9353/paz?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
GruBy,https://hltv.org/stats/players/8570/GruBy?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
mouz,https://hltv.org/stats/players/8323/mouz?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
suNny,https://hltv.org/stats/players/5479/suNny?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
oskar,https://hltv.org/stats/players/798/oskar?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
mertz,https://hltv.org/stats/players/9895/mertz?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
kennyS,https://hltv.org/stats/players/7167/kennyS?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
mir,https://hltv.org/stats/players/8789/mir?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
freddieb,https://hltv.org/stats/players/9257/freddieb?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
shuadapai,https://hltv.org/stats/players/11576/shuadapai?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
device,https://hltv.org/stats/players/7592/device?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
Ryxxo,https://hltv.org/stats/players/8848/Ryxxo?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
Summer,https://hltv.org/stats/players/7028/Summer?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
electronic,https://hltv.org/stats/players/8918/electronic?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
NAF,https://hltv.org/stats/players/8520/NAF?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
Attacker,https://hltv.org/stats/players/8552/Attacker?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
rain,https://hltv.org/stats/players/8183/rain?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
rallen,https://hltv.org/stats/players/5388/rallen?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
v1c7oR,https://hltv.org/stats/players/7834/v1c7oR?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
CeRq,https://hltv.org/stats/players/11219/CeRq?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
Hobbit,https://hltv.org/stats/players/8528/Hobbit?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
twist,https://hltv.org/stats/players/7443/twist?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
ANGE1,https://hltv.org/stats/players/339/ANGE1?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
EliGE,https://hltv.org/stats/players/8738/EliGE?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
Twistzz,https://hltv.org/stats/players/10394/Twistzz?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
REZ,https://hltv.org/stats/players/9278/REZ?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
Brehze,https://hltv.org/stats/players/9136/Brehze?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
draken,https://hltv.org/stats/players/9255/draken?startDate=2017-01-01&endDate=2017-12-31&matchType=Lan,True
